CustomerID,CustomerName,Age,Gender,City
C19147,Customer_85,30,Male,Lalitpur
C19009,Customer_86,63,Female,Kathmandu
C28661,Customer_87,52,Male,Lalitpur
C84443,Customer_88,23,Female,Pokhara
C40736,Customer_89,35,Female,Biratnagar
C20181,Customer_90,22,Female,Kathmandu
C81224,Customer_91,64,Female,Lalitpur
C98711,Customer_92,42,Male,Pokhara
C81088,Customer_93,19,Female,Pokhara
C00146,Customer_94,27,Female,Lalitpur
C55761,Customer_95,47,Male,Kathmandu
C86185,Customer_96,62,Female,Pokhara
C53740,Customer_97,22,Female,Lalitpur
C86440,Customer_98,50,Female,Kathmandu
C54700,Customer_99,18,Female,Kathmandu
C44990,Customer_100,35,Male,Pokhara
C96341,Customer_101,49,Male,Kathmandu
C46230,Customer_102,64,Male,Biratnagar
C15590,Customer_103,28,Male,Pokhara
C62663,Customer_104,38,Female,Kathmandu
C88488,Customer_105,43,Female,Biratnagar
C26945,Customer_106,42,Male,Biratnagar
C87442,Customer_107,39,Female,Pokhara
C13400,Customer_108,44,Female,Lalitpur
C78106,Customer_109,30,Male,Kathmandu
C37777,Customer_110,50,Male,Biratnagar
C50265,Customer_111,51,Male,Pokhara
C88907,Customer_112,58,Female,Kathmandu
C23751,Customer_113,52,Female,Lalitpur
C29140,Customer_114,18,Female,Kathmandu
C20576,Customer_115,38,Female,Lalitpur
C51893,Customer_116,23,Female,Kathmandu
C84553,Customer_117,45,Female,Kathmandu
C22127,Customer_118,34,Male,Lalitpur
C52189,Customer_119,22,Male,Lalitpur
C78689,Customer_120,48,Male,Pokhara
C46909,Customer_121,22,Male,Pokhara
C81821,Customer_122,55,Female,Lalitpur
C45803,Customer_123,20,Male,Biratnagar
C69922,Customer_124,40,Male,Kathmandu
C05977,Customer_125,54,Male,Lalitpur
C69702,Customer_126,54,Male,Biratnagar
C78063,Customer_127,27,Female,Biratnagar
C19898,Customer_128,27,Male,Pokhara
C20925,Customer_129,36,Female,Pokhara
C64215,Customer_130,34,Male,Kathmandu
C97184,Customer_131,38,Female,Pokhara
C09138,Customer_132,31,Male,Kathmandu
C77327,Customer_133,26,Female,Lalitpur
C14818,Customer_134,63,Female,Kathmandu
C41464,Customer_135,18,Female,Pokhara
C84242,Customer_136,62,Male,Pokhara
C50233,Customer_137,30,Male,Biratnagar
C66691,Customer_138,21,Male,Pokhara
C91869,Customer_139,18,Female,Biratnagar
C94529,Customer_140,57,Female,Pokhara
C64865,Customer_141,49,Female,Biratnagar
C87852,Customer_142,51,Male,Kathmandu
C34852,Customer_143,45,Male,Kathmandu
C58003,Customer_144,48,Female,Kathmandu
C85859,Customer_145,25,Male,Biratnagar
C35043,Customer_146,56,Female,Kathmandu
C08542,Customer_147,43,Male,Lalitpur
C07370,Customer_148,51,Female,Kathmandu
C67846,Customer_149,20,Female,Kathmandu
C56030,Customer_150,29,Female,Biratnagar
C15373,Customer_151,18,Male,Kathmandu
C02954,Customer_152,61,Male,Pokhara
C90529,Customer_153,22,Female,Biratnagar
C58994,Customer_154,47,Male,Kathmandu
C74292,Customer_155,47,Male,Lalitpur
C39028,Customer_156,34,Female,Biratnagar
C40446,Customer_157,64,Male,Kathmandu
C00350,Customer_158,40,Male,Lalitpur
C83456,Customer_159,32,Male,Biratnagar
C52589,Customer_160,54,Male,Pokhara
C00738,Customer_161,38,Female,Pokhara
C08322,Customer_162,31,Male,Kathmandu
C20845,Customer_163,19,Male,Lalitpur
C57997,Customer_164,28,Male,Pokhara
C14622,Customer_165,56,Female,Lalitpur
C42854,Customer_166,55,Female,Pokhara
C77388,Customer_167,51,Female,Biratnagar
C15141,Customer_168,55,Male,Pokhara
C76309,Customer_169,51,Female,Lalitpur
C93110,Customer_170,35,Male,Lalitpur
C88942,Customer_171,47,Female,Kathmandu
C59946,Customer_172,32,Female,Biratnagar
C12856,Customer_173,44,Male,Pokhara
C18002,Customer_174,51,Female,Biratnagar
C64024,Customer_175,55,Female,Biratnagar
C03683,Customer_176,50,Female,Lalitpur
C51368,Customer_177,41,Female,Kathmandu
C56177,Customer_178,32,Female,Biratnagar
C33086,Customer_179,47,Male,Lalitpur
C26971,Customer_180,59,Male,Pokhara
C99797,Customer_181,34,Female,Lalitpur
C41317,Customer_182,22,Male,Kathmandu
C13481,Customer_183,46,Male,Lalitpur
C30524,Customer_184,21,Female,Biratnagar
C41934,Customer_185,27,Female,Lalitpur
C36061,Customer_186,34,Male,Lalitpur
C50210,Customer_187,27,Female,Lalitpur
C07272,Customer_188,34,Male,Biratnagar
C21594,Customer_189,37,Male,Kathmandu
C10913,Customer_190,41,Female,Pokhara
C65672,Customer_191,22,Female,Biratnagar
C14220,Customer_192,51,Male,Pokhara
C85049,Customer_193,23,Male,Pokhara
C69161,Customer_194,19,Female,Biratnagar
C34264,Customer_195,30,Female,Biratnagar
C76464,Customer_196,60,Female,Biratnagar
C37889,Customer_197,60,Female,Biratnagar
C45630,Customer_198,28,Female,Kathmandu
C80176,Customer_199,64,Female,Kathmandu
C24392,Customer_200,40,Male,Lalitpur
C94292,Customer_201,33,Male,Pokhara
C14302,Customer_202,48,Female,Pokhara
C30432,Customer_203,28,Male,Biratnagar
C18213,Customer_204,33,Male,Biratnagar
C22894,Customer_205,25,Male,Pokhara
C88641,Customer_206,21,Male,Biratnagar
C27219,Customer_207,57,Male,Kathmandu
C81259,Customer_208,21,Male,Lalitpur
C30385,Customer_209,42,Male,Lalitpur
C43294,Customer_210,20,Male,Pokhara
C21743,Customer_211,49,Female,Kathmandu
C80141,Customer_212,20,Female,Kathmandu
C74495,Customer_213,44,Female,Biratnagar
C30616,Customer_214,46,Female,Biratnagar
C95639,Customer_215,49,Male,Biratnagar
C97097,Customer_216,36,Female,Lalitpur
C48425,Customer_217,38,Female,Lalitpur
C57585,Customer_218,22,Male,Kathmandu
C89750,Customer_219,35,Female,Kathmandu
C43552,Customer_220,45,Female,Kathmandu
C51104,Customer_221,59,Male,Biratnagar
C96887,Customer_222,39,Female,Lalitpur
C65245,Customer_223,38,Female,Biratnagar
C60004,Customer_224,23,Male,Biratnagar
C92447,Customer_225,18,Male,Lalitpur
C97449,Customer_226,22,Female,Biratnagar
C08547,Customer_227,58,Female,Lalitpur
C10012,Customer_228,29,Female,Pokhara
C03767,Customer_229,43,Male,Kathmandu
C92120,Customer_230,63,Female,Pokhara
C84966,Customer_231,51,Female,Kathmandu
C08330,Customer_232,31,Female,Kathmandu
C64296,Customer_233,43,Female,Pokhara
C39730,Customer_234,62,Male,Lalitpur
C17201,Customer_235,44,Male,Biratnagar
C52061,Customer_236,26,Female,Pokhara
C36786,Customer_237,43,Female,Kathmandu
C93637,Customer_238,64,Male,Lalitpur
C95402,Customer_239,39,Male,Pokhara
C62831,Customer_240,64,Male,Lalitpur
C52472,Customer_241,47,Male,Pokhara
C05440,Customer_242,60,Female,Pokhara
C76452,Customer_243,34,Male,Lalitpur
C67263,Customer_244,43,Male,Lalitpur
C46788,Customer_245,53,Female,Lalitpur
C07493,Customer_246,18,Female,Lalitpur
C38960,Customer_247,25,Female,Pokhara
C79689,Customer_248,52,Female,Biratnagar
C37492,Customer_249,32,Female,Lalitpur
C36660,Customer_250,64,Female,Pokhara
C82451,Customer_251,39,Female,Lalitpur
C80023,Customer_252,31,Male,Biratnagar
C88525,Customer_253,43,Male,Pokhara
C28812,Customer_254,45,Female,Biratnagar
C97756,Customer_255,40,Male,Pokhara
C98895,Customer_256,31,Male,Pokhara
C91075,Customer_257,41,Female,Lalitpur
C61249,Customer_258,19,Male,Biratnagar
C31342,Customer_259,62,Male,Kathmandu
C58194,Customer_260,43,Male,Biratnagar
C93873,Customer_261,31,Male,Kathmandu
C97585,Customer_262,24,Female,Biratnagar
C86102,Customer_263,20,Male,Lalitpur
C55350,Customer_264,64,Male,Biratnagar
C60662,Customer_265,40,Female,Biratnagar
C65901,Customer_266,63,Male,Kathmandu
C38630,Customer_267,60,Female,Kathmandu
C06763,Customer_268,64,Male,Biratnagar
C91909,Customer_269,62,Male,Lalitpur
C26560,Customer_270,35,Female,Kathmandu
C36598,Customer_271,55,Female,Lalitpur
C38881,Customer_272,52,Female,Kathmandu
C05014,Customer_273,32,Male,Pokhara
C32951,Customer_274,42,Female,Pokhara
C91040,Customer_275,54,Female,Pokhara
C79382,Customer_276,45,Male,Pokhara
C95863,Customer_277,27,Female,Pokhara
C64783,Customer_278,56,Male,Pokhara
C53000,Customer_279,34,Male,Lalitpur
C97923,Customer_280,56,Female,Lalitpur
C42496,Customer_281,39,Female,Kathmandu
C98820,Customer_282,43,Male,Biratnagar
C26089,Customer_283,61,Female,Biratnagar
C44700,Customer_284,42,Male,Biratnagar
C82028,Customer_285,34,Female,Biratnagar
C24863,Customer_286,30,Female,Pokhara
C27932,Customer_287,37,Male,Biratnagar
C88688,Customer_288,42,Male,Pokhara
C10876,Customer_289,21,Female,Biratnagar
C22500,Customer_290,27,Male,Kathmandu
C59879,Customer_291,20,Female,Lalitpur
C00395,Customer_292,58,Female,Pokhara
C37698,Customer_293,62,Male,Lalitpur
C06900,Customer_294,35,Male,Biratnagar
C12125,Customer_295,64,Male,Lalitpur
C07285,Customer_296,53,Female,Biratnagar
C69861,Customer_297,64,Female,Lalitpur
C69975,Customer_298,39,Male,Lalitpur
C81040,Customer_299,51,Male,Biratnagar
C74386,Customer_300,64,Female,Biratnagar
C16351,Customer_301,25,Female,Pokhara
C68758,Customer_302,57,Male,Lalitpur
C59580,Customer_303,61,Male,Pokhara
C27727,Customer_304,36,Female,Biratnagar
C53424,Customer_305,59,Female,Biratnagar
C92340,Customer_306,58,Male,Kathmandu
C27798,Customer_307,54,Female,Kathmandu
C69428,Customer_308,23,Female,Kathmandu
C85298,Customer_309,43,Female,Biratnagar
C63790,Customer_310,51,Male,Lalitpur
C40092,Customer_311,62,Female,Biratnagar
C35697,Customer_312,23,Male,Biratnagar
C92513,Customer_313,54,Female,Kathmandu
C06217,Customer_314,50,Female,Lalitpur
C64394,Customer_315,39,Male,Pokhara
C09196,Customer_316,38,Male,Kathmandu
C83896,Customer_317,23,Female,Biratnagar
C81332,Customer_318,23,Male,Biratnagar
C03524,Customer_319,21,Male,Lalitpur
C70337,Customer_320,47,Male,Pokhara
C64258,Customer_321,28,Female,Lalitpur
C59790,Customer_322,47,Male,Lalitpur
C25801,Customer_323,48,Female,Pokhara
C37651,Customer_324,41,Male,Pokhara
C11339,Customer_325,26,Male,Kathmandu
C10206,Customer_326,20,Female,Lalitpur
C09749,Customer_327,48,Female,Kathmandu
C21387,Customer_328,57,Male,Lalitpur
C96362,Customer_329,54,Female,Lalitpur
C13724,Customer_330,53,Female,Kathmandu
C78852,Customer_331,41,Male,Kathmandu
C69133,Customer_332,48,Male,Lalitpur
C67484,Customer_333,23,Female,Biratnagar
C70387,Customer_334,19,Male,Pokhara
C23492,Customer_335,37,Female,Lalitpur
C59592,Customer_336,45,Female,Kathmandu
C17942,Customer_337,28,Female,Biratnagar
C07718,Customer_338,21,Male,Lalitpur
C55213,Customer_339,32,Female,Lalitpur
C80928,Customer_340,23,Male,Biratnagar
C00418,Customer_341,47,Female,Pokhara
C99864,Customer_342,55,Female,Pokhara
C46347,Customer_343,19,Female,Pokhara
C01777,Customer_344,32,Male,Kathmandu
C69969,Customer_345,28,Male,Pokhara
C99878,Customer_346,25,Female,Biratnagar
C25987,Customer_347,43,Female,Biratnagar
C59667,Customer_348,62,Male,Lalitpur
C56869,Customer_349,61,Female,Pokhara
C87342,Customer_350,22,Male,Kathmandu
C74349,Customer_351,23,Female,Biratnagar
C91891,Customer_352,43,Female,Kathmandu
C08718,Customer_353,21,Male,Biratnagar
C24248,Customer_354,36,Male,Biratnagar
C18510,Customer_355,37,Male,Biratnagar
C29420,Customer_356,50,Female,Kathmandu
C08775,Customer_357,37,Female,Biratnagar
C77625,Customer_358,29,Male,Biratnagar
C41418,Customer_359,64,Female,Biratnagar
C47730,Customer_360,18,Female,Kathmandu
C51374,Customer_361,43,Female,Biratnagar
C54885,Customer_362,31,Male,Biratnagar
C98469,Customer_363,55,Male,Pokhara
C70011,Customer_364,54,Female,Biratnagar
C03949,Customer_365,28,Female,Lalitpur
C47233,Customer_366,53,Female,Lalitpur
C10832,Customer_367,30,Male,Biratnagar
C93966,Customer_368,60,Male,Biratnagar
C33124,Customer_369,20,Male,Lalitpur
C60942,Customer_370,50,Male,Lalitpur
C63837,Customer_371,23,Male,Kathmandu
C83673,Customer_372,27,Female,Lalitpur
C25172,Customer_373,22,Female,Kathmandu
C37927,Customer_374,40,Male,Lalitpur
C46693,Customer_375,27,Male,Biratnagar
C96176,Customer_376,61,Male,Biratnagar
C45967,Customer_377,19,Male,Lalitpur
C29687,Customer_378,30,Female,Lalitpur
C83268,Customer_379,57,Female,Lalitpur
C73021,Customer_380,19,Female,Lalitpur
C08114,Customer_381,37,Female,Biratnagar
C96545,Customer_382,18,Male,Kathmandu
C95279,Customer_383,54,Male,Pokhara
C10662,Customer_384,26,Male,Pokhara
C20323,Customer_385,34,Female,Kathmandu
C76496,Customer_386,26,Female,Lalitpur
C73183,Customer_387,28,Female,Kathmandu
C79873,Customer_388,32,Female,Biratnagar
C56529,Customer_389,41,Female,Kathmandu
C48758,Customer_390,55,Male,Pokhara
C04856,Customer_391,52,Female,Kathmandu
C98491,Customer_392,47,Female,Lalitpur
C81208,Customer_393,48,Female,Kathmandu
C41126,Customer_394,22,Male,Pokhara
C53385,Customer_395,61,Female,Lalitpur
C11645,Customer_396,31,Female,Biratnagar
C52546,Customer_397,28,Male,Pokhara
C19326,Customer_398,26,Male,Lalitpur
C76913,Customer_399,51,Male,Lalitpur
C48985,Customer_400,29,Female,Biratnagar
C28137,Customer_401,52,Female,Pokhara
C61220,Customer_402,52,Female,Pokhara
C46279,Customer_403,18,Female,Kathmandu
C65107,Customer_404,57,Male,Kathmandu
C73143,Customer_405,39,Male,Lalitpur
C87875,Customer_406,46,Male,Lalitpur
C34288,Customer_407,25,Male,Lalitpur
C26247,Customer_408,28,Female,Lalitpur
C07406,Customer_409,58,Male,Biratnagar
C01752,Customer_410,54,Female,Kathmandu
C89295,Customer_411,31,Female,Biratnagar
C82013,Customer_412,47,Male,Biratnagar
C05948,Customer_413,52,Female,Kathmandu
C74664,Customer_414,38,Female,Pokhara
C44893,Customer_415,54,Female,Kathmandu
C67947,Customer_416,22,Male,Biratnagar
C46817,Customer_417,36,Female,Lalitpur
C72962,Customer_418,31,Female,Kathmandu
C76210,Customer_419,43,Female,Biratnagar
C73703,Customer_420,21,Male,Biratnagar
C58340,Customer_421,42,Female,Lalitpur
C74001,Customer_422,62,Female,Pokhara
C94811,Customer_423,59,Female,Biratnagar
C16270,Customer_424,42,Male,Biratnagar
C06138,Customer_425,35,Male,Pokhara
C99870,Customer_426,57,Male,Biratnagar
C93797,Customer_427,25,Female,Kathmandu
C20024,Customer_428,56,Female,Kathmandu
C84454,Customer_429,57,Female,Biratnagar
C73596,Customer_430,31,Female,Biratnagar
C89334,Customer_431,49,Female,Pokhara
C58710,Customer_432,55,Male,Lalitpur
C25149,Customer_433,50,Male,Kathmandu
C52795,Customer_434,40,Female,Pokhara
C55121,Customer_435,32,Male,Lalitpur
C34198,Customer_436,50,Male,Kathmandu
C19226,Customer_437,42,Female,Kathmandu
C03202,Customer_438,34,Female,Biratnagar
C23617,Customer_439,50,Male,Lalitpur
C34597,Customer_440,64,Male,Biratnagar
C66507,Customer_441,19,Female,Pokhara
C00063,Customer_442,31,Female,Lalitpur
C36262,Customer_443,57,Female,Lalitpur
C60388,Customer_444,57,Male,Biratnagar
C80151,Customer_445,56,Male,Kathmandu
C57908,Customer_446,23,Female,Kathmandu
C90535,Customer_447,23,Female,Biratnagar
C70835,Customer_448,20,Female,Pokhara
C39968,Customer_449,24,Female,Biratnagar
C73647,Customer_450,25,Female,Lalitpur
C91924,Customer_451,59,Male,Kathmandu
C54203,Customer_452,32,Male,Pokhara
C05879,Customer_453,64,Female,Lalitpur
C02401,Customer_454,46,Female,Biratnagar
C61839,Customer_455,50,Female,Kathmandu
C99378,Customer_456,47,Male,Pokhara
C27801,Customer_457,56,Female,Kathmandu
C06910,Customer_458,44,Male,Pokhara
C32773,Customer_459,53,Male,Biratnagar
C68233,Customer_460,46,Female,Pokhara
C63473,Customer_461,55,Female,Lalitpur
C42930,Customer_462,50,Female,Kathmandu
C95043,Customer_463,54,Female,Pokhara
C41166,Customer_464,44,Female,Lalitpur
C67271,Customer_465,50,Male,Kathmandu
C32299,Customer_466,21,Male,Biratnagar
C65556,Customer_467,39,Female,Lalitpur
C89918,Customer_468,19,Female,Lalitpur
C79928,Customer_469,27,Female,Kathmandu
C32811,Customer_470,22,Female,Biratnagar
C09478,Customer_471,27,Female,Pokhara
C73486,Customer_472,50,Male,Lalitpur
C67468,Customer_473,55,Male,Kathmandu
C43867,Customer_474,30,Male,Kathmandu
C71091,Customer_475,48,Male,Kathmandu
C67361,Customer_476,64,Female,Pokhara
C90827,Customer_477,53,Female,Kathmandu
C48186,Customer_478,62,Female,Pokhara
C01970,Customer_479,41,Male,Biratnagar
C40187,Customer_480,32,Male,Pokhara
C25363,Customer_481,46,Female,Kathmandu
C39726,Customer_482,25,Male,Kathmandu
C44615,Customer_483,22,Female,Lalitpur
C33423,Customer_484,46,Female,Pokhara
C12813,Customer_485,64,Female,Lalitpur
C68446,Customer_486,21,Female,Pokhara
C79469,Customer_487,29,Male,Kathmandu
C43137,Customer_488,62,Female,Lalitpur
C84057,Customer_489,19,Female,Lalitpur
C48785,Customer_490,44,Female,Biratnagar
C27149,Customer_491,48,Female,Biratnagar
C72948,Customer_492,53,Female,Kathmandu
C58483,Customer_493,53,Male,Kathmandu
C21438,Customer_494,43,Female,Lalitpur
C49821,Customer_495,60,Female,Biratnagar
C81943,Customer_496,44,Male,Kathmandu
C82144,Customer_497,22,Female,Kathmandu
C13974,Customer_498,37,Female,Biratnagar
C05711,Customer_499,28,Female,Biratnagar
C97865,Customer_500,27,Female,Pokhara
C62639,Customer_501,57,Female,Kathmandu
C09979,Customer_502,55,Female,Biratnagar
C95347,Customer_503,23,Female,Pokhara
C84546,Customer_504,25,Male,Biratnagar
C73694,Customer_505,40,Female,Pokhara
C42841,Customer_506,64,Female,Kathmandu
C48781,Customer_507,43,Female,Biratnagar
C10545,Customer_508,63,Male,Biratnagar
C66738,Customer_509,60,Female,Kathmandu
C67017,Customer_510,29,Female,Lalitpur
C33039,Customer_511,43,Female,Pokhara
C43711,Customer_512,30,Male,Pokhara
C75777,Customer_513,57,Female,Biratnagar
C23886,Customer_514,35,Male,Kathmandu
C25975,Customer_515,42,Male,Kathmandu
C58453,Customer_516,50,Female,Lalitpur
C73561,Customer_517,64,Female,Kathmandu
C05614,Customer_518,57,Male,Kathmandu
C58421,Customer_519,60,Female,Lalitpur
C86059,Customer_520,29,Male,Pokhara
C46695,Customer_521,61,Female,Kathmandu
C17734,Customer_522,53,Male,Kathmandu
C28752,Customer_523,21,Male,Pokhara
C17481,Customer_524,22,Female,Pokhara
C34132,Customer_525,54,Male,Lalitpur
C13985,Customer_526,25,Female,Pokhara
C01012,Customer_527,59,Male,Kathmandu
C37959,Customer_528,45,Male,Pokhara
C36071,Customer_529,48,Female,Biratnagar
C60654,Customer_530,26,Male,Lalitpur
C25473,Customer_531,46,Male,Kathmandu
C22506,Customer_532,31,Female,Lalitpur
C72071,Customer_533,57,Male,Lalitpur
C62773,Customer_534,58,Male,Lalitpur
C35380,Customer_535,39,Male,Lalitpur
C85159,Customer_536,28,Male,Lalitpur
C81051,Customer_537,40,Male,Pokhara
C94894,Customer_538,18,Female,Lalitpur
C24065,Customer_539,63,Female,Lalitpur
C60351,Customer_540,54,Female,Lalitpur
C64107,Customer_541,38,Male,Biratnagar
C88550,Customer_542,43,Female,Kathmandu
C04970,Customer_543,63,Male,Lalitpur
C85995,Customer_544,53,Female,Biratnagar
C29583,Customer_545,40,Female,Kathmandu
C25507,Customer_546,18,Male,Pokhara
C37063,Customer_547,57,Female,Lalitpur
C66800,Customer_548,32,Male,Lalitpur
C31910,Customer_549,38,Male,Biratnagar
C38831,Customer_550,64,Male,Lalitpur
C47412,Customer_551,26,Male,Pokhara
C49558,Customer_552,26,Female,Kathmandu
C38230,Customer_553,27,Male,Biratnagar
C17351,Customer_554,43,Male,Biratnagar
C02264,Customer_555,58,Male,Lalitpur
C61982,Customer_556,52,Male,Pokhara
C60734,Customer_557,42,Female,Pokhara
C43423,Customer_558,43,Male,Lalitpur
C84337,Customer_559,28,Female,Kathmandu
C14116,Customer_560,55,Female,Kathmandu
C43319,Customer_561,19,Male,Biratnagar
C64445,Customer_562,24,Female,Pokhara
C82596,Customer_563,35,Male,Pokhara
C05202,Customer_564,44,Male,Kathmandu
C72797,Customer_565,51,Male,Kathmandu
C09929,Customer_566,44,Female,Biratnagar
C26253,Customer_567,34,Male,Biratnagar
C77423,Customer_568,60,Female,Pokhara
C41627,Customer_569,61,Male,Biratnagar
C94643,Customer_570,41,Male,Biratnagar
C19925,Customer_571,42,Male,Kathmandu
C63686,Customer_572,24,Female,Lalitpur
C87192,Customer_573,23,Male,Kathmandu
C72879,Customer_574,41,Female,Kathmandu
C34862,Customer_575,50,Male,Kathmandu
C78326,Customer_576,46,Female,Lalitpur
C77133,Customer_577,60,Male,Lalitpur
C49007,Customer_578,39,Male,Lalitpur
C93523,Customer_579,43,Female,Pokhara
C10076,Customer_580,45,Male,Lalitpur
C63843,Customer_581,38,Male,Kathmandu
C53416,Customer_582,24,Male,Kathmandu
C06869,Customer_583,34,Female,Pokhara
C07280,Customer_584,37,Female,Biratnagar
C13836,Customer_585,58,Female,Pokhara
C03470,Customer_586,37,Female,Kathmandu
C17796,Customer_587,39,Male,Kathmandu
C72101,Customer_588,45,Male,Lalitpur
C26094,Customer_589,57,Female,Pokhara
C06112,Customer_590,24,Male,Lalitpur
C93881,Customer_591,18,Female,Biratnagar
C86871,Customer_592,49,Male,Lalitpur
C56619,Customer_593,30,Female,Lalitpur
C84757,Customer_594,47,Female,Lalitpur
C40362,Customer_595,40,Female,Biratnagar
C96544,Customer_596,36,Male,Lalitpur
C38829,Customer_597,49,Female,Kathmandu
C82586,Customer_598,47,Female,Biratnagar
C13531,Customer_599,46,Male,Lalitpur
C49370,Customer_600,62,Male,Pokhara
C85817,Customer_601,46,Male,Pokhara
C57049,Customer_602,47,Female,Lalitpur
C66404,Customer_603,33,Male,Pokhara
C57709,Customer_604,57,Female,Pokhara
C66414,Customer_605,36,Male,Biratnagar
C72273,Customer_606,35,Female,Biratnagar
C02632,Customer_607,18,Female,Kathmandu
C02124,Customer_608,31,Female,Biratnagar
C90663,Customer_609,64,Male,Kathmandu
C53573,Customer_610,19,Female,Lalitpur
C36188,Customer_611,45,Female,Biratnagar
C32387,Customer_612,47,Female,Kathmandu
C23646,Customer_613,55,Male,Biratnagar
C33481,Customer_614,21,Male,Lalitpur
C13155,Customer_615,18,Male,Pokhara
C01975,Customer_616,25,Female,Pokhara
C43983,Customer_617,46,Female,Kathmandu
C83343,Customer_618,56,Male,Biratnagar
C27539,Customer_619,20,Female,Pokhara
C04611,Customer_620,49,Male,Biratnagar
C75264,Customer_621,27,Male,Lalitpur
C50884,Customer_622,27,Male,Lalitpur
C14598,Customer_623,36,Male,Kathmandu
C25106,Customer_624,63,Male,Pokhara
C63712,Customer_625,51,Male,Pokhara
C87548,Customer_626,50,Male,Lalitpur
C84801,Customer_627,40,Female,Lalitpur
C31100,Customer_628,45,Female,Kathmandu
C00305,Customer_629,49,Male,Kathmandu
C64791,Customer_630,24,Female,Kathmandu
C20847,Customer_631,46,Male,Kathmandu
C18867,Customer_632,25,Female,Biratnagar
C99316,Customer_633,18,Male,Lalitpur
C81939,Customer_634,20,Female,Biratnagar
C87398,Customer_635,41,Male,Kathmandu
C82592,Customer_636,40,Female,Lalitpur
C85470,Customer_637,25,Male,Pokhara
C82769,Customer_638,64,Male,Kathmandu
C71361,Customer_639,54,Female,Lalitpur
C99321,Customer_640,20,Male,Pokhara
