OrderID,CustomerID,ProductID,OrderDate,Sales,Profit
O000100,C08988,P01189,2023-01-27,4915,757
O000101,C01765,P01773,2023-08-19,4940,1428
O000102,C09212,P00697,2024-07-28,1678,970
O000103,C01461,P00425,2022-08-04,4807,-268
O000104,C08050,P01692,2023-08-14,1491,654
O000105,C01368,P01099,2024-05-26,2794,1039
O000106,C01804,P00406,2024-08-24,3556,-220
O000107,C00325,P01142,2023-09-10,1137,735
O000108,C09282,P00628,2022-08-02,2065,-123
O000109,C06756,P00168,2024-04-18,3651,83
O000110,C06822,P01178,2023-09-27,143,1065
O000111,C02589,P00783,2022-10-26,2508,633
O000112,C07872,P00980,2022-10-27,3857,777
O000113,C00373,P00289,2024-01-04,4795,1356
O000114,C08859,P01760,2024-08-14,2969,910
O000115,C05331,P01411,2024-04-24,4801,87
O000116,C06115,P01001,2023-11-23,3472,355
O000117,C00129,P00356,2023-04-06,893,394
O000118,C01512,P00627,2022-10-19,1441,1288
O000119,C02115,P00953,2023-09-22,3163,-7
O000120,C09379,P00239,2023-08-06,3031,775
O000121,C09703,P01763,2024-05-17,4192,958
O000122,C00343,P00448,2023-01-22,2095,-189
O000123,C04172,P01878,2022-07-09,1262,-447
O000124,C08351,P00524,2022-12-04,2700,674
O000125,C01179,P00640,2023-01-24,2356,-401
O000126,C06625,P01036,2022-01-07,4974,1263
O000127,C02904,P00249,2023-11-19,4311,414
O000128,C07120,P01008,2022-01-24,1356,694
O000129,C05922,P00155,2023-06-03,4075,685
O000130,C01427,P01226,2022-08-27,1576,308
O000131,C05718,P00249,2023-10-08,4779,977
O000132,C05042,P00684,2023-11-27,2197,-235
O000133,C02352,P00517,2022-08-25,4983,-337
O000134,C03579,P00120,2023-01-25,3608,804
O000135,C03840,P00580,2023-07-08,1454,4
O000136,C00067,P00760,2023-02-23,4481,-275
O000137,C05913,P00482,2023-05-23,4195,-334
O000138,C08822,P00239,2022-04-01,4581,1220
O000139,C09323,P00919,2022-07-31,3811,898
O000140,C05805,P01313,2022-09-02,4741,97
O000141,C05507,P00802,2023-11-10,4798,98
O000142,C02924,P01419,2023-10-23,1297,812
O000143,C04856,P01963,2022-12-22,1781,645
O000144,C01265,P00654,2023-03-18,4340,-3
O000145,C06593,P00738,2024-08-13,865,805
O000146,C04179,P00289,2023-11-08,4968,1429
O000147,C05007,P00056,2024-03-28,673,-481
O000148,C01407,P00603,2022-08-07,3350,1027
O000149,C04656,P00132,2022-02-23,4979,-379
O000150,C04419,P00657,2024-03-22,1533,864
O000151,C01400,P01225,2022-01-21,3884,262
O000152,C00616,P01277,2023-07-17,4742,1410
O000153,C06498,P00820,2022-07-14,975,729
O000154,C09954,P01697,2023-06-23,3305,-119
O000155,C01727,P00881,2023-04-08,2890,395
O000156,C09399,P01757,2024-08-14,638,859
O000157,C02443,P00196,2022-04-24,4706,1064
O000158,C08419,P01023,2024-09-25,579,-424
O000159,C04959,P00319,2022-06-04,434,1196
O000160,C08217,P00709,2023-08-26,3347,1488
O000161,C03055,P00032,2023-10-26,2446,959
O000162,C01099,P01656,2023-03-16,130,900
O000163,C07488,P00407,2023-07-05,2726,-206
O000164,C09792,P01707,2022-08-05,663,-176
O000165,C02120,P01015,2023-04-29,3406,-486
O000166,C04879,P00362,2022-06-19,4338,-225
O000167,C06807,P00627,2023-02-10,4289,87
O000168,C05210,P01394,2022-02-22,4179,-91
O000169,C07018,P01814,2024-05-29,2278,-350
O000170,C05124,P00697,2023-02-26,2712,298
O000171,C04678,P01167,2023-10-23,3772,-390
O000172,C03412,P01806,2023-10-07,3870,1034
O000173,C02890,P01278,2023-11-04,3479,1344
O000174,C02453,P00007,2022-06-12,4601,1118
O000175,C07604,P01795,2023-01-27,4295,680
O000176,C02488,P00482,2023-10-22,1102,1000
O000177,C08044,P01278,2023-08-10,4834,1445
O000178,C05177,P01467,2024-05-29,589,327
O000179,C09648,P01697,2022-10-05,1986,641
O000180,C00233,P01655,2024-05-03,3521,1018
O000181,C08289,P01451,2024-06-29,540,79
O000182,C04778,P01424,2023-11-25,4769,149
O000183,C00087,P01361,2024-08-31,4981,831
O000184,C03968,P01253,2024-01-27,3547,239
O000185,C02156,P01476,2024-04-02,3532,-378
O000186,C08638,P00987,2023-05-20,469,594
O000187,C04853,P01077,2023-03-16,4705,224
O000188,C00596,P00109,2022-05-30,639,233
O000189,C06332,P00152,2024-05-09,2885,-240
O000190,C02342,P01476,2022-01-23,3797,-65
O000191,C00626,P00611,2022-06-04,3338,-361
O000192,C01084,P01032,2022-09-21,1561,393
O000193,C03678,P00794,2022-04-07,1103,-138
O000194,C06182,P01375,2023-10-18,2697,428
O000195,C09368,P00041,2023-07-28,4365,1490
O000196,C04023,P01173,2022-04-01,439,377
O000197,C02612,P00058,2024-05-24,2312,-190
O000198,C09711,P00121,2022-01-05,3718,164
O000199,C01921,P01621,2022-11-14,765,868
O000200,C05268,P01676,2024-01-24,3645,1289
O000201,C07606,P01048,2023-06-24,4031,178
O000202,C08907,P01619,2022-02-19,1229,788
O000203,C06150,P00093,2023-12-23,464,99
O000204,C06510,P01037,2022-10-25,3791,-495
O000205,C07180,P01608,2022-11-30,172,1449
O000206,C02223,P00483,2023-03-23,854,852
O000207,C06283,P01428,2022-02-01,3531,771
O000208,C03460,P01918,2022-04-18,1673,727
O000209,C04456,P01469,2024-04-04,1892,1073
O000210,C04338,P00939,2023-12-19,3533,477
O000211,C02067,P00726,2024-06-01,2519,-164
O000212,C06673,P01843,2022-03-24,457,-112
O000213,C04865,P01476,2022-02-23,1152,20
O000214,C09303,P01074,2023-03-15,214,725
O000215,C04550,P00179,2024-04-04,1187,976
O000216,C04226,P01786,2023-06-14,1625,447
O000217,C04645,P01175,2023-07-28,1762,407
O000218,C07154,P00781,2022-09-18,4820,992
O000219,C06675,P00575,2023-11-09,1146,20
O000220,C09659,P00606,2023-11-01,4925,797
O000221,C07588,P00771,2023-02-14,1834,-489
O000222,C09628,P01533,2023-03-30,1640,-60
O000223,C08659,P00115,2022-11-22,2839,669
O000224,C03682,P00137,2023-05-12,747,868
O000225,C05459,P01171,2024-08-25,1755,1351
O000226,C05694,P00442,2023-08-29,2735,-346
O000227,C04421,P01385,2022-10-05,4444,976
O000228,C03759,P00034,2023-05-01,799,898
O000229,C06361,P00879,2024-02-11,57,502
O000230,C03351,P01198,2024-08-02,2439,-27
O000231,C04302,P01915,2022-02-28,1317,396
O000232,C07540,P01956,2023-10-25,2910,1379
O000233,C09970,P00245,2023-06-22,3464,133
O000234,C08653,P01082,2024-02-20,2061,858
O000235,C07358,P00107,2022-05-14,2349,726
O000236,C02654,P00858,2022-03-12,2368,742
O000237,C03947,P00492,2022-08-12,2247,411
O000238,C06289,P01212,2024-03-21,2627,617
O000239,C05008,P01700,2022-11-13,1319,1014
O000240,C01206,P01613,2023-12-09,4812,1169
O000241,C02219,P01152,2022-05-01,3240,427
O000242,C01651,P01296,2024-03-05,4696,208
O000243,C06939,P00365,2022-05-11,3616,882
O000244,C09785,P01347,2022-11-03,3903,-145
O000245,C06599,P00989,2023-01-05,3331,-334
O000246,C09984,P00866,2023-04-26,3196,1148
O000247,C05546,P01689,2024-08-18,3938,-414
O000248,C05420,P01827,2023-06-08,3509,864
O000249,C04006,P01829,2023-05-15,4567,867
O000250,C08523,P00508,2022-06-27,4690,1496
O000251,C07873,P00664,2023-03-14,174,320
O000252,C09928,P00554,2022-01-11,3833,419
O000253,C09324,P00908,2022-03-07,4458,1122
O000254,C05386,P01535,2023-02-15,1682,740
O000255,C04439,P01821,2022-01-16,2415,433
O000256,C02232,P00863,2022-03-17,1721,-338
O000257,C02476,P01748,2022-07-11,2877,-456
O000258,C06332,P00028,2023-11-24,3602,-42
O000259,C00433,P00183,2023-05-13,530,-192
O000260,C07742,P00457,2023-11-07,1538,729
O000261,C06917,P00751,2022-07-14,584,753
O000262,C02863,P00062,2023-04-13,870,-103
O000263,C00693,P01193,2022-05-03,1598,830
O000264,C05273,P00819,2022-12-12,1173,170
O000265,C07452,P00880,2022-03-10,2999,1071
O000266,C06894,P00090,2023-11-15,3532,1333
O000267,C02774,P00365,2022-05-12,4797,-291
O000268,C07413,P00400,2024-01-02,1582,-304
O000269,C09519,P01856,2023-09-08,2770,-305
O000270,C06976,P01940,2024-02-26,2249,-240
O000271,C08095,P01839,2024-01-20,1570,578
O000272,C07504,P00507,2023-08-10,1163,348
O000273,C04962,P01065,2023-09-13,2157,1495
O000274,C07226,P00697,2023-09-06,1061,82
O000275,C03334,P00278,2022-06-24,2521,-417
O000276,C01546,P00684,2022-10-31,4716,696
O000277,C06150,P00939,2022-09-28,2422,719
O000278,C03367,P00219,2024-01-01,1187,-353
O000279,C03661,P01175,2024-03-26,64,179
O000280,C08611,P00096,2022-05-04,2708,463
O000281,C07520,P00729,2023-09-20,4675,159
O000282,C03784,P01762,2023-02-12,1736,1152
O000283,C05893,P01020,2023-11-01,3864,-189
O000284,C00640,P00504,2022-11-09,1329,1316
O000285,C06249,P00938,2024-09-17,870,-155
O000286,C00585,P00659,2023-06-19,2478,1455
O000287,C06866,P00533,2023-03-04,4616,979
O000288,C03488,P00133,2024-07-12,2196,-204
O000289,C00901,P01230,2022-08-19,4464,-346
O000290,C04971,P01892,2022-03-07,4672,305
O000291,C07676,P01879,2022-02-13,2591,805
O000292,C04073,P01075,2023-10-16,1224,1090
O000293,C06138,P00632,2022-01-31,2104,1201
O000294,C08138,P01781,2024-03-25,1955,2
O000295,C02943,P01281,2023-11-16,4047,-397
O000296,C09815,P00619,2022-10-27,437,305
O000297,C01291,P00952,2022-02-19,759,389
O000298,C01760,P01776,2023-03-21,4075,1248
O000299,C06723,P00576,2023-12-02,3080,1340
O000300,C05117,P00733,2023-08-25,3026,887
O000301,C02370,P01055,2022-02-03,2805,-1
O000302,C08917,P01719,2024-01-22,782,8
O000303,C05590,P00935,2022-05-03,2811,410
O000304,C08003,P01949,2022-10-25,2949,871
O000305,C04163,P01921,2023-03-29,2634,956
O000306,C07767,P01688,2023-10-06,1107,-154
O000307,C02684,P00491,2022-09-23,4452,1060
O000308,C04690,P00289,2022-10-23,4935,1009
O000309,C03284,P00124,2024-07-19,106,1409
O000310,C06628,P00326,2024-07-21,3038,7
O000311,C09003,P01327,2024-07-21,2335,-128
O000312,C05210,P01369,2022-10-14,1449,1428
O000313,C07169,P01630,2022-08-20,4407,767
O000314,C04406,P01672,2023-04-28,3109,1097
O000315,C08799,P00608,2022-10-26,2810,-79
O000316,C06376,P00568,2022-05-25,1534,132
O000317,C01048,P01473,2022-07-05,4662,1285
O000318,C08418,P00511,2023-05-01,1041,1187
O000319,C00553,P01694,2022-06-02,3664,-366
O000320,C07617,P01109,2022-11-20,3077,737
O000321,C07484,P00248,2022-01-27,1731,832
O000322,C09352,P00972,2022-09-12,4047,-205
O000323,C03550,P01062,2024-08-05,484,787
O000324,C08555,P00876,2022-07-22,3543,1497
O000325,C03776,P00109,2023-09-16,340,630
O000326,C05150,P01752,2023-03-31,494,622
O000327,C01678,P01928,2023-08-20,123,-39
O000328,C00825,P00880,2022-06-26,4715,363
O000329,C00006,P01868,2022-04-02,2954,676
O000330,C07748,P00645,2022-08-04,85,543
O000331,C08145,P00414,2023-05-30,3946,409
O000332,C07986,P01612,2023-05-10,1573,610
O000333,C02190,P01544,2024-08-03,3589,1170
O000334,C08379,P00661,2024-01-27,2146,748
O000335,C08422,P00949,2024-03-16,3465,723
O000336,C04220,P00996,2024-05-23,564,249
O000337,C05292,P01503,2022-06-19,2192,552
O000338,C03688,P00812,2023-11-11,3349,41
O000339,C08333,P01131,2022-05-03,3816,1246
O000340,C09772,P01739,2024-06-02,2889,-227
O000341,C02180,P01888,2024-06-08,1639,920
O000342,C01976,P00429,2023-11-28,2347,-476
O000343,C01085,P00233,2022-03-08,3493,381
O000344,C08201,P00099,2024-07-01,2798,792
O000345,C03739,P01814,2023-09-17,3169,-124
O000346,C02022,P00904,2023-08-14,2207,-339
O000347,C06501,P00697,2023-01-27,1711,453
O000348,C00596,P01228,2023-06-23,943,894
O000349,C08207,P00380,2022-09-21,3532,724
O000350,C09145,P00507,2022-03-12,1043,581
O000351,C01752,P00059,2022-08-01,4623,262
O000352,C06561,P00928,2022-07-08,3585,1427
O000353,C07185,P01694,2024-05-23,4884,1174
O000354,C07146,P00854,2024-02-27,736,-257
O000355,C03876,P01552,2024-04-26,2003,1148
O000356,C08434,P01184,2024-06-02,1659,696
O000357,C02024,P01502,2023-08-22,3925,1210
O000358,C06285,P01508,2024-01-26,4691,-252
O000359,C01795,P00938,2022-10-20,1631,291
O000360,C02537,P01490,2022-05-28,4281,1349
O000361,C09635,P01291,2023-09-24,4265,507
O000362,C06888,P01974,2023-06-03,1130,1488
O000363,C08290,P00342,2023-03-31,3287,874
O000364,C04590,P00253,2023-05-07,2452,38
O000365,C00088,P00287,2022-07-24,2853,1161
O000366,C09812,P00006,2024-07-14,1920,1244
O000367,C01116,P00920,2024-06-26,3607,1375
O000368,C01756,P01524,2022-04-10,3635,-190
O000369,C06323,P01333,2023-08-10,3406,1301
O000370,C09209,P00341,2022-07-24,2132,1027
O000371,C05816,P00530,2023-07-29,1358,1065
O000372,C01478,P00497,2023-10-30,3689,274
O000373,C07648,P01931,2023-08-27,1147,-65
O000374,C01124,P00575,2024-02-27,4110,636
O000375,C06497,P00489,2024-08-13,2800,869
O000376,C03143,P00459,2022-12-02,1025,361
O000377,C04253,P01248,2022-08-14,1844,487
O000378,C06908,P00898,2022-05-20,4435,831
O000379,C02227,P01913,2023-06-30,4619,801
O000380,C01636,P01567,2024-05-09,958,1011
O000381,C06164,P00239,2022-08-01,2253,1075
O000382,C01885,P01719,2023-11-23,4683,968
O000383,C01768,P00235,2022-06-30,3437,986
O000384,C05651,P00943,2024-05-15,4433,-490
O000385,C01966,P00556,2022-09-02,3566,209
O000386,C05693,P00413,2022-03-27,2496,726
O000387,C02117,P00058,2022-06-27,3689,745
O000388,C09213,P01998,2023-11-27,2376,-453
O000389,C09360,P00448,2022-01-27,4086,433
O000390,C00597,P00104,2023-01-25,2836,1274
O000391,C02897,P01063,2023-10-11,1214,890
O000392,C05526,P00572,2024-09-11,2729,563
O000393,C08106,P01881,2022-10-12,526,916
O000394,C05969,P01665,2023-12-09,2008,306
O000395,C07039,P01780,2024-07-04,455,-399
O000396,C04254,P00195,2023-06-14,2368,809
O000397,C02939,P00708,2022-11-01,4760,-437
O000398,C06255,P00327,2024-06-08,4402,1035
O000399,C03923,P01451,2024-01-16,393,-56
O000400,C02538,P01192,2024-05-08,1058,737
O000401,C00156,P01365,2023-03-08,4838,1068
O000402,C07983,P00089,2022-06-16,2738,346
O000403,C01725,P00958,2022-02-23,829,893
O000404,C06967,P01383,2023-10-14,2748,254
O000405,C08293,P01657,2023-10-06,1431,-131
O000406,C09479,P01461,2023-11-23,4168,-286
O000407,C08661,P01766,2023-01-21,2723,243
O000408,C04845,P00639,2023-06-06,1583,1411
O000409,C01458,P01246,2022-10-15,4748,929
O000410,C07297,P00216,2023-11-12,2255,-129
O000411,C00100,P00318,2022-07-28,3488,789
O000412,C06155,P01061,2022-05-13,709,-222
O000413,C08019,P00317,2023-08-06,4879,1112
O000414,C05518,P01069,2022-12-08,994,1345
O000415,C00897,P00415,2023-06-12,1721,177
O000416,C02067,P00558,2023-02-15,163,653
O000417,C07642,P01602,2022-05-10,2512,975
O000418,C04046,P01913,2023-01-04,4103,882
O000419,C01404,P00460,2022-06-15,3697,103
O000420,C09295,P00273,2024-06-04,3446,1397
O000421,C07370,P01911,2024-05-23,3428,1164
O000422,C07802,P00259,2022-10-02,2768,687
O000423,C08079,P01137,2022-08-24,2313,823
O000424,C04108,P01520,2024-02-23,2456,974
O000425,C08577,P00782,2023-08-04,1372,388
O000426,C01782,P00087,2022-01-16,2711,758
O000427,C08593,P00980,2024-04-09,2769,1165
O000428,C08882,P01490,2023-05-02,3319,1221
O000429,C09542,P01117,2022-08-03,1958,1120
O000430,C05096,P00980,2022-10-29,165,-450
O000431,C04648,P00255,2024-08-30,4632,891
O000432,C09112,P01929,2023-02-01,466,976
O000433,C03405,P00362,2022-08-16,104,1030
O000434,C01642,P01420,2023-04-26,4679,166
O000435,C08679,P00626,2023-02-26,1321,186
O000436,C01712,P00912,2023-03-27,1903,510
O000437,C09603,P00839,2022-09-02,4114,776
O000438,C03732,P00997,2023-11-11,1631,1404
O000439,C04283,P00606,2023-06-19,255,1347
O000440,C04141,P01788,2022-11-17,4196,1098
O000441,C04327,P00346,2023-08-29,1168,233
O000442,C00542,P01666,2023-07-01,1787,772
O000443,C00865,P00017,2023-02-09,2384,706
O000444,C04443,P00757,2024-01-11,1251,270
O000445,C00078,P01605,2023-08-03,672,-104
O000446,C04474,P01139,2024-09-03,3821,365
O000447,C07753,P01238,2023-12-19,3520,1035
O000448,C06367,P01992,2024-02-24,1621,1193
O000449,C09801,P01600,2023-10-26,2239,522
O000450,C01181,P00536,2022-09-21,1259,317
O000451,C00690,P00773,2022-03-08,4799,1269
O000452,C09247,P00180,2023-09-05,1486,1366
O000453,C08224,P00182,2022-08-17,2370,568
O000454,C05169,P00774,2023-12-01,3925,602
O000455,C02312,P01258,2022-06-20,2624,70
O000456,C00973,P00219,2022-05-09,2998,89
O000457,C09111,P00400,2023-12-18,4210,1354
O000458,C08333,P00412,2024-01-06,3034,-12
O000459,C06523,P01074,2022-08-05,3280,734
O000460,C02618,P01989,2023-05-26,3340,1276
O000461,C03973,P00341,2024-01-22,4112,437
O000462,C04644,P00077,2024-06-18,2773,215
O000463,C02804,P00044,2023-10-27,2172,928
O000464,C00567,P00996,2023-12-27,549,1257
O000465,C03043,P00468,2022-01-26,2558,-215
O000466,C02342,P00431,2023-03-27,2872,890
O000467,C08910,P01431,2022-03-11,4141,935
O000468,C00586,P01412,2023-12-07,3136,702
O000469,C05930,P01889,2024-07-19,4871,1223
O000470,C02586,P01283,2024-07-23,4039,1444
O000471,C06129,P01305,2024-07-18,2690,890
O000472,C05903,P00383,2024-02-11,3014,157
O000473,C08898,P01294,2023-07-07,3818,-253
O000474,C05008,P01524,2024-07-26,1471,566
O000475,C06874,P01895,2023-04-08,894,-463
O000476,C00774,P01745,2023-07-25,944,234
O000477,C05854,P01800,2022-06-23,3833,787
O000478,C00699,P01822,2022-05-24,1242,1131
O000479,C05199,P00177,2022-09-14,4935,668
O000480,C00328,P01285,2022-04-19,1420,-84
O000481,C01800,P00357,2023-02-21,3155,872
O000482,C05087,P00534,2023-04-02,1670,1045
O000483,C06619,P00123,2022-08-16,2859,1199
O000484,C07693,P01002,2022-12-16,2784,-160
O000485,C09936,P00825,2024-02-05,4642,-392
O000486,C06348,P00131,2023-01-20,3504,273
O000487,C09490,P00168,2022-05-29,2062,27
O000488,C08318,P00307,2022-01-19,1264,514
O000489,C01258,P00624,2022-05-22,4665,-93
O000490,C01545,P00766,2024-06-11,1273,-446
O000491,C00496,P01551,2023-02-14,4137,1495
O000492,C00198,P00157,2022-01-21,4322,-457
O000493,C05857,P01265,2023-04-23,1434,1363
O000494,C05099,P01967,2024-05-01,4253,-209
O000495,C06105,P01840,2023-03-19,2563,-293
O000496,C07486,P01847,2023-07-14,4656,-189
O000497,C00813,P00510,2022-11-08,3285,184
O000498,C05413,P01980,2024-02-06,3920,704
O000499,C01057,P00194,2024-07-25,459,1414
O000500,C00936,P00872,2023-11-06,2613,1295
O000501,C04682,P01078,2022-05-11,4598,773
O000502,C03816,P00199,2024-09-22,1557,495
O000503,C05079,P00224,2023-01-03,2555,-246
O000504,C01208,P01787,2024-07-15,4832,-322
O000505,C08440,P00056,2023-03-20,554,424
O000506,C01418,P01999,2024-06-08,941,1441
O000507,C04067,P01795,2022-12-02,2555,-207
O000508,C02786,P00997,2022-02-10,3023,115
O000509,C03121,P01354,2023-11-26,2908,16
O000510,C09214,P00763,2022-11-02,1614,1284
O000511,C04762,P00783,2023-05-31,1271,1244
O000512,C06838,P01011,2022-01-24,1406,999
O000513,C01574,P01765,2024-08-24,4085,-128
O000514,C00180,P00907,2022-03-14,2332,-354
O000515,C01270,P01883,2022-03-28,2956,1084
O000516,C05819,P00226,2024-04-05,1973,-168
O000517,C02690,P00707,2023-11-21,2931,-214
O000518,C07512,P01337,2023-09-04,3379,432
O000519,C08223,P01329,2023-02-28,4364,-301
O000520,C02353,P00746,2024-09-05,841,1274
O000521,C03126,P01094,2024-01-12,502,86
O000522,C01501,P00752,2024-05-04,214,860
O000523,C05592,P00737,2023-03-14,4069,971
O000524,C03761,P00278,2023-01-15,3633,33
O000525,C09810,P00150,2023-06-01,2023,173
O000526,C09727,P00132,2024-02-29,2902,307
O000527,C00012,P01209,2023-08-18,434,-265
O000528,C07600,P00051,2022-11-04,4969,-289
O000529,C07868,P01266,2023-02-14,2407,1388
O000530,C00336,P00850,2023-04-09,1161,939
O000531,C03696,P00037,2023-07-30,1275,526
O000532,C05228,P00884,2023-11-15,425,110
O000533,C07549,P00704,2023-06-16,3650,-368
O000534,C03637,P01278,2023-07-09,1204,1483
O000535,C02204,P00475,2022-11-06,2788,1155
O000536,C06080,P01372,2022-04-26,1017,1326
O000537,C04991,P00103,2023-05-01,2436,258
O000538,C02622,P01002,2024-06-24,2084,605
O000539,C05196,P01621,2022-10-17,2234,608
O000540,C07869,P01111,2024-06-14,1490,1482
O000541,C03013,P01356,2024-02-08,4123,605
O000542,C00803,P01107,2023-03-30,3525,91
O000543,C03580,P00326,2023-05-30,2518,857
O000544,C00352,P01503,2024-03-28,864,-327
O000545,C06113,P01444,2024-09-23,779,675
O000546,C09497,P00988,2022-10-08,926,1015
O000547,C00050,P01838,2024-07-20,3528,1157
O000548,C04875,P00589,2022-09-16,1864,1261
O000549,C03627,P01753,2023-01-11,4954,841
O000550,C08338,P00803,2024-04-13,3112,423
O000551,C09836,P00561,2023-12-10,4868,-214
O000552,C04623,P01119,2024-02-16,4553,610
O000553,C03183,P01384,2023-11-23,2106,806
O000554,C04019,P01239,2023-09-19,4830,532
O000555,C02704,P01073,2022-10-19,2655,1142
O000556,C09383,P01787,2022-06-25,449,1447
O000557,C04311,P01427,2023-02-12,3792,360
O000558,C07934,P00796,2022-02-06,4721,1385
O000559,C06928,P01919,2022-01-14,3424,-283
O000560,C04223,P00737,2023-08-17,1228,389
O000561,C07637,P01781,2024-06-26,1581,1139
O000562,C07561,P00826,2024-05-10,137,972
O000563,C06866,P01187,2022-09-02,2123,689
O000564,C07864,P00388,2022-09-14,1096,1226
O000565,C00453,P00291,2023-02-01,126,653
O000566,C04489,P01092,2022-01-16,855,657
O000567,C05002,P00082,2023-08-10,2005,-453
O000568,C02802,P00671,2023-12-15,1130,667
O000569,C08415,P01852,2023-07-11,1315,591
O000570,C05860,P01924,2022-07-31,4663,623
O000571,C06188,P00719,2022-05-16,1953,1031
O000572,C04104,P01567,2022-05-18,3355,1111
