CustomerID,Segment,Region
C00155,Corporate,Europe
C00156,Consumer,Europe
C00157,Consumer,Asia
C00158,Home Office,Asia
C00159,Corporate,Asia
C00160,Consumer,Europe
C00161,Corporate,Europe
C00162,Home Office,Europe
C00163,Home Office,Asia
C00164,Home Office,US
C00165,Consumer,Asia
C00166,Consumer,Asia
C00167,Consumer,Asia
C00168,Consumer,US
C00169,Consumer,Asia
C00170,Home Office,Asia
C00171,Home Office,Asia
C00172,Corporate,US
C00173,Consumer,Asia
C00174,Consumer,US
C00175,Consumer,US
C00176,Corporate,Asia
C00177,Home Office,US
C00178,Consumer,Europe
C00179,Home Office,Europe
C00180,Corporate,US
C00181,Consumer,US
C00182,Home Office,Europe
C00183,Consumer,Asia
C00184,Corporate,US
C00185,Corporate,US
C00186,Home Office,US
C00187,Consumer,Europe
C00188,Home Office,Europe
C00189,Corporate,Asia
C00190,Consumer,Europe
C00191,Consumer,Europe
C00192,Home Office,Asia
C00193,Consumer,Asia
C00194,Consumer,Asia
C00195,Corporate,Europe
C00196,Home Office,Asia
C00197,Home Office,Asia
C00198,Corporate,Europe
C00199,Home Office,Europe
C00200,Corporate,Asia
C00201,Corporate,US
C00202,Consumer,Europe
C00203,Corporate,US
C00204,Home Office,Asia
C00205,Corporate,US
C00206,Home Office,Asia
C00207,Consumer,Asia
C00208,Home Office,Asia
C00209,Home Office,US
C00210,Home Office,US
C00211,Consumer,Asia
C00212,Home Office,US
C00213,Consumer,Europe
C00214,Consumer,US
C00215,Consumer,Europe
C00216,Consumer,US
C00217,Consumer,US
C00218,Home Office,US
C00219,Corporate,US
C00220,Consumer,US
C00221,Home Office,Asia
C00222,Consumer,US
C00223,Corporate,Europe
C00224,Consumer,Asia
C00225,Consumer,Europe
C00226,Consumer,US
C00227,Home Office,US
C00228,Corporate,US
C00229,Corporate,Asia
C00230,Corporate,US
C00231,Consumer,US
C00232,Home Office,US
C00233,Corporate,US
C00234,Home Office,US
C00235,Corporate,Asia
C00236,Corporate,US
C00237,Home Office,US
C00238,Corporate,Europe
C00239,Home Office,US
C00240,Home Office,Europe
C00241,Corporate,Asia
C00242,Consumer,Europe
C00243,Corporate,Asia
C00244,Corporate,US
C00245,Corporate,Asia
C00246,Home Office,Asia
C00247,Home Office,US
C00248,Corporate,Europe
C00249,Corporate,Asia
C00250,Corporate,Europe
C00251,Corporate,US
C00252,Consumer,Europe
C00253,Consumer,Asia
C00254,Consumer,Europe
C00255,Home Office,Europe
C00256,Corporate,Asia
C00257,Home Office,Asia
C00258,Consumer,US
C00259,Home Office,Europe
C00260,Corporate,Europe
C00261,Consumer,US
C00262,Home Office,Asia
C00263,Consumer,US
C00264,Corporate,Asia
C00265,Home Office,Asia
C00266,Corporate,US
C00267,Home Office,Asia
C00268,Corporate,US
C00269,Consumer,Asia
C00270,Corporate,US
C00271,Corporate,US
C00272,Consumer,Asia
C00273,Home Office,Europe
C00274,Home Office,Europe
C00275,Home Office,Asia
C00276,Consumer,US
C00277,Home Office,Asia
C00278,Consumer,US
C00279,Home Office,Asia
C00280,Corporate,Asia
C00281,Consumer,Asia
C00282,Consumer,Asia
C00283,Home Office,Asia
C00284,Consumer,Europe
C00285,Home Office,US
C00286,Corporate,Europe
C00287,Home Office,Asia
C00288,Corporate,Europe
C00289,Corporate,Europe
C00290,Corporate,Europe
C00291,Home Office,Asia
C00292,Consumer,Asia
C00293,Consumer,US
C00294,Corporate,US
C00295,Home Office,Asia
C00296,Consumer,US
C00297,Corporate,US
C00298,Home Office,Asia
C00299,Consumer,US
C00300,Home Office,US
C00301,Home Office,Asia
C00302,Corporate,US
C00303,Consumer,Europe
C00304,Consumer,US
C00305,Corporate,Europe
C00306,Home Office,US
C00307,Home Office,Europe
C00308,Corporate,Europe
C00309,Corporate,US
C00310,Home Office,Asia
C00311,Home Office,US
C00312,Home Office,Asia
C00313,Corporate,Asia
C00314,Home Office,Europe
C00315,Consumer,Asia
C00316,Home Office,Asia
C00317,Corporate,Europe
C00318,Home Office,Europe
C00319,Home Office,Europe
C00320,Corporate,Asia
C00321,Home Office,US
C00322,Home Office,US
C00323,Corporate,Asia
C00324,Corporate,Europe
C00325,Corporate,US
C00326,Corporate,Asia
C00327,Home Office,Europe
C00328,Home Office,Europe
C00329,Corporate,Asia
C00330,Corporate,Asia
C00331,Consumer,Europe
C00332,Home Office,US
C00333,Corporate,Asia
C00334,Corporate,Europe
C00335,Consumer,Europe
C00336,Home Office,Asia
C00337,Home Office,Asia
C00338,Home Office,Asia
C00339,Home Office,US
C00340,Corporate,Asia
C00341,Consumer,Asia
C00342,Consumer,Europe
C00343,Consumer,Asia
C00344,Home Office,Europe
C00345,Corporate,Asia
C00346,Home Office,Asia
C00347,Corporate,Europe
C00348,Corporate,US
C00349,Home Office,US
C00350,Home Office,US
C00351,Corporate,US
C00352,Consumer,US
C00353,Corporate,Europe
C00354,Consumer,Europe
C00355,Consumer,US
C00356,Home Office,US
C00357,Consumer,Asia
C00358,Consumer,Asia
C00359,Home Office,Europe
C00360,Consumer,Europe
C00361,Home Office,Europe
C00362,Corporate,US
C00363,Consumer,Asia
C00364,Corporate,US
C00365,Consumer,Europe
C00366,Home Office,Europe
C00367,Corporate,US
C00368,Corporate,US
C00369,Corporate,Asia
C00370,Home Office,US
C00371,Corporate,Asia
C00372,Corporate,Asia
C00373,Corporate,US
C00374,Corporate,Asia
C00375,Home Office,Asia
C00376,Home Office,Europe
C00377,Home Office,US
C00378,Home Office,Europe
C00379,Consumer,Europe
C00380,Home Office,US
C00381,Consumer,US
C00382,Consumer,Europe
C00383,Consumer,Asia
C00384,Home Office,Asia
C00385,Consumer,Asia
C00386,Consumer,Asia
C00387,Corporate,Asia
C00388,Corporate,US
C00389,Corporate,US
C00390,Corporate,US
C00391,Corporate,Europe
C00392,Home Office,Europe
C00393,Consumer,Asia
C00394,Corporate,Europe
C00395,Corporate,Europe
C00396,Home Office,Asia
C00397,Home Office,Europe
C00398,Home Office,Europe
C00399,Consumer,US
C00400,Consumer,Europe
C00401,Consumer,US
C00402,Corporate,US
C00403,Home Office,US
C00404,Consumer,US
C00405,Corporate,Europe
C00406,Home Office,Europe
C00407,Home Office,Asia
C00408,Consumer,Europe
C00409,Home Office,Asia
C00410,Corporate,Europe
C00411,Home Office,Asia
C00412,Consumer,Europe
C00413,Home Office,Asia
C00414,Corporate,US
C00415,Corporate,Europe
C00416,Consumer,US
C00417,Consumer,Asia
C00418,Home Office,Asia
C00419,Home Office,Asia
C00420,Corporate,Asia
C00421,Corporate,Asia
C00422,Consumer,Europe
C00423,Consumer,US
C00424,Corporate,Asia
C00425,Consumer,US
C00426,Home Office,Europe
C00427,Corporate,US
C00428,Corporate,Europe
C00429,Home Office,Asia
C00430,Home Office,US
C00431,Corporate,Asia
C00432,Corporate,Europe
C00433,Home Office,US
C00434,Corporate,Europe
C00435,Consumer,Europe
C00436,Consumer,Asia
C00437,Home Office,US
C00438,Home Office,Europe
C00439,Corporate,US
C00440,Corporate,Asia
C00441,Corporate,Asia
C00442,Home Office,US
C00443,Home Office,Asia
C00444,Consumer,Europe
C00445,Home Office,US
C00446,Consumer,US
C00447,Consumer,Europe
C00448,Consumer,Europe
C00449,Consumer,Europe
C00450,Consumer,US
C00451,Corporate,Asia
C00452,Corporate,US
C00453,Corporate,US
C00454,Home Office,US
C00455,Consumer,Asia
C00456,Consumer,Europe
C00457,Consumer,Europe
C00458,Consumer,US
C00459,Consumer,Europe
C00460,Consumer,Asia
C00461,Corporate,US
C00462,Corporate,Asia
C00463,Home Office,Europe
C00464,Consumer,Asia
C00465,Corporate,Asia
C00466,Consumer,US
C00467,Consumer,Asia
C00468,Home Office,Europe
C00469,Home Office,Europe
C00470,Consumer,Europe
C00471,Corporate,Europe
C00472,Corporate,Asia
C00473,Corporate,Asia
C00474,Home Office,Asia
C00475,Home Office,US
C00476,Home Office,US
C00477,Home Office,Asia
C00478,Consumer,Europe
C00479,Corporate,Europe
C00480,Corporate,US
C00481,Home Office,US
C00482,Consumer,Europe
C00483,Consumer,Asia
C00484,Home Office,Europe
C00485,Home Office,Asia
C00486,Consumer,Asia
C00487,Home Office,US
C00488,Corporate,US
C00489,Home Office,US
C00490,Corporate,Asia
C00491,Corporate,Asia
C00492,Corporate,Europe
C00493,Consumer,US
C00494,Home Office,US
C00495,Consumer,Asia
C00496,Home Office,Europe
C00497,Home Office,Asia
C00498,Consumer,Europe
C00499,Corporate,US
C00500,Home Office,Asia
C00501,Consumer,US
C00502,Corporate,Asia
C00503,Consumer,Asia
C00504,Consumer,Asia
C00505,Corporate,Asia
C00506,Corporate,Asia
C00507,Corporate,Europe
C00508,Consumer,Europe
C00509,Consumer,US
C00510,Consumer,Asia
C00511,Consumer,Asia
C00512,Consumer,Asia
C00513,Corporate,Europe
C00514,Consumer,Europe
C00515,Consumer,US
C00516,Corporate,US
C00517,Consumer,Europe
C00518,Corporate,Europe
C00519,Consumer,US
C00520,Corporate,Europe
C00521,Home Office,Asia
C00522,Corporate,Asia
C00523,Consumer,US
C00524,Corporate,Europe
C00525,Consumer,Europe
C00526,Consumer,Europe
C00527,Consumer,US
C00528,Corporate,Europe
C00529,Corporate,US
C00530,Corporate,Europe
C00531,Consumer,US
C00532,Consumer,US
C00533,Consumer,Europe
C00534,Consumer,Asia
C00535,Corporate,US
C00536,Consumer,Asia
C00537,Consumer,Europe
C00538,Home Office,Europe
C00539,Corporate,Asia
C00540,Consumer,US
C00541,Consumer,Europe
C00542,Corporate,Asia
C00543,Home Office,Europe
C00544,Corporate,Asia
C00545,Home Office,Europe
C00546,Corporate,Asia
C00547,Home Office,Europe
C00548,Home Office,Asia
C00549,Corporate,US
C00550,Home Office,US
C00551,Consumer,US
C00552,Consumer,Asia
C00553,Home Office,Europe
C00554,Corporate,Europe
C00555,Consumer,Europe
C00556,Corporate,Europe
C00557,Consumer,Asia
C00558,Corporate,US
C00559,Corporate,US
C00560,Corporate,US
C00561,Home Office,US
C00562,Corporate,US
C00563,Consumer,Asia
C00564,Consumer,US
C00565,Consumer,Asia
C00566,Home Office,US
C00567,Corporate,Asia
C00568,Consumer,Asia
C00569,Consumer,Asia
C00570,Corporate,Europe
C00571,Home Office,Asia
C00572,Corporate,US
C00573,Home Office,Europe
C00574,Corporate,Europe
C00575,Home Office,Asia
C00576,Consumer,US
C00577,Consumer,Europe
C00578,Corporate,Europe
C00579,Consumer,Asia
C00580,Home Office,Asia
C00581,Home Office,Europe
C00582,Consumer,US
C00583,Corporate,Europe
C00584,Home Office,US
C00585,Consumer,Europe
C00586,Home Office,Europe
C00587,Consumer,US
C00588,Corporate,Asia
C00589,Corporate,Europe
C00590,Corporate,Europe
C00591,Consumer,Asia
C00592,Corporate,Asia
C00593,Consumer,Europe
C00594,Home Office,Europe
C00595,Corporate,Asia
C00596,Home Office,US
C00597,Home Office,US
C00598,Consumer,Asia
C00599,Corporate,US
C00600,Consumer,US
C00601,Consumer,Europe
C00602,Consumer,Asia
C00603,Consumer,Asia
C00604,Home Office,US
C00605,Corporate,Asia
C00606,Home Office,Asia
C00607,Home Office,Europe
C00608,Consumer,Asia
C00609,Consumer,Europe
C00610,Home Office,Europe
C00611,Consumer,Asia
C00612,Home Office,Asia
C00613,Corporate,US
C00614,Consumer,Asia
C00615,Consumer,Asia
C00616,Corporate,US
C00617,Home Office,Europe
C00618,Consumer,US
C00619,Home Office,Asia
C00620,Home Office,US
C00621,Home Office,Europe
C00622,Corporate,US
C00623,Home Office,Europe
C00624,Corporate,Asia
C00625,Home Office,Asia
C00626,Consumer,Asia
C00627,Consumer,Asia
C00628,Home Office,Europe
C00629,Home Office,Asia
C00630,Home Office,US
C00631,Corporate,US
C00632,Corporate,US
C00633,Home Office,Europe
C00634,Consumer,Europe
C00635,Home Office,Asia
C00636,Consumer,Europe
C00637,Consumer,US
C00638,Home Office,Asia
C00639,Corporate,US
C00640,Home Office,Asia
C00641,Consumer,US
C00642,Home Office,Europe
C00643,Home Office,Asia
C00644,Consumer,US
C00645,Consumer,US
C00646,Home Office,Asia
C00647,Consumer,US
C00648,Home Office,Europe
C00649,Consumer,US
C00650,Home Office,Europe
C00651,Consumer,Asia
C00652,Home Office,Europe
C00653,Corporate,US
C00654,Home Office,US
C00655,Home Office,US
C00656,Consumer,Europe
C00657,Consumer,Europe
C00658,Consumer,US
C00659,Corporate,Europe
C00660,Corporate,Europe
C00661,Corporate,Asia
C00662,Consumer,US
C00663,Home Office,Asia
C00664,Consumer,Asia
C00665,Consumer,US
C00666,Home Office,Asia
C00667,Home Office,US
C00668,Corporate,Asia
C00669,Home Office,Europe
C00670,Consumer,Asia
C00671,Corporate,Asia
C00672,Consumer,Asia
C00673,Consumer,Europe
C00674,Corporate,US
C00675,Home Office,Europe
C00676,Consumer,Europe
C00677,Corporate,Europe
C00678,Corporate,Europe
C00679,Corporate,US
C00680,Corporate,Europe
C00681,Corporate,Europe
C00682,Consumer,US
C00683,Corporate,Europe
C00684,Consumer,Asia
C00685,Home Office,Asia
C00686,Consumer,Europe
C00687,Home Office,Asia
C00688,Consumer,US
C00689,Consumer,Europe
C00690,Corporate,US
C00691,Home Office,Asia
C00692,Consumer,Europe
C00693,Home Office,Asia
C00694,Consumer,Europe
C00695,Home Office,Asia
C00696,Consumer,Europe
C00697,Home Office,Asia
C00698,Consumer,Asia
C00699,Consumer,US
C00700,Corporate,Asia
C00701,Consumer,US
C00702,Corporate,Asia
C00703,Home Office,US
C00704,Home Office,US
C00705,Consumer,US
C00706,Home Office,US
C00707,Corporate,Europe
C00708,Home Office,Asia
C00709,Home Office,Europe
C00710,Home Office,Asia
C00711,Consumer,Asia
C00712,Corporate,US
C00713,Consumer,Europe
C00714,Consumer,Asia
C00715,Consumer,Asia
C00716,Consumer,US
C00717,Home Office,US
C00718,Home Office,Europe
C00719,Corporate,Europe
C00720,Consumer,US
C00721,Corporate,US
C00722,Corporate,Europe
C00723,Home Office,US
C00724,Consumer,US
C00725,Home Office,US
C00726,Corporate,US
C00727,Home Office,Asia
C00728,Home Office,Asia
C00729,Corporate,US
C00730,Consumer,Europe
C00731,Corporate,Asia
C00732,Consumer,Asia
C00733,Home Office,US
C00734,Home Office,Asia
C00735,Home Office,US
C00736,Corporate,Europe
C00737,Home Office,US
C00738,Consumer,Asia
C00739,Home Office,Europe
C00740,Home Office,US
C00741,Home Office,Asia
C00742,Home Office,Europe
C00743,Consumer,US
C00744,Home Office,US
C00745,Corporate,Europe
C00746,Consumer,Europe
C00747,Home Office,US
C00748,Consumer,Asia
C00749,Corporate,Asia
C00750,Consumer,Europe
C00751,Corporate,US
C00752,Corporate,Asia
C00753,Consumer,US
C00754,Consumer,US
C00755,Consumer,Asia
C00756,Corporate,Europe
C00757,Home Office,US
C00758,Corporate,US
C00759,Home Office,US
C00760,Home Office,US
C00761,Consumer,Europe
C00762,Home Office,US
C00763,Home Office,Asia
C00764,Consumer,Asia
C00765,Corporate,Europe
C00766,Consumer,Asia
C00767,Consumer,US
C00768,Consumer,Europe
C00769,Consumer,Europe
C00770,Corporate,Asia
C00771,Corporate,US
C00772,Consumer,US
C00773,Home Office,Europe
C00774,Consumer,US
C00775,Corporate,Asia
C00776,Consumer,Asia
C00777,Corporate,Asia
C00778,Corporate,Asia
C00779,Consumer,Asia
C00780,Consumer,Europe
C00781,Home Office,Asia
C00782,Home Office,Asia
C00783,Consumer,US
C00784,Home Office,US
C00785,Corporate,Europe
C00786,Corporate,Asia
C00787,Home Office,Asia
C00788,Home Office,Europe
C00789,Home Office,US
C00790,Home Office,Asia
C00791,Home Office,Europe
C00792,Corporate,Asia
C00793,Home Office,Europe
C00794,Home Office,US
C00795,Home Office,Europe
C00796,Corporate,US
C00797,Corporate,Europe
C00798,Home Office,Europe
C00799,Corporate,Europe
C00800,Home Office,Asia
C00801,Consumer,Europe
C00802,Home Office,Europe
C00803,Consumer,Asia
C00804,Home Office,US
C00805,Corporate,US
C00806,Consumer,US
C00807,Consumer,Asia
C00808,Corporate,Asia
C00809,Home Office,Asia
C00810,Corporate,Europe
C00811,Corporate,Asia
C00812,Home Office,US
C00813,Corporate,Europe
C00814,Consumer,US
C00815,Consumer,Asia
C00816,Corporate,Asia
C00817,Corporate,Asia
C00818,Consumer,US
C00819,Home Office,Europe
C00820,Corporate,Asia
C00821,Home Office,Europe
C00822,Corporate,Asia
C00823,Corporate,Asia
C00824,Consumer,Europe
C00825,Consumer,Asia
C00826,Home Office,Asia
C00827,Consumer,Asia
C00828,Home Office,US
C00829,Consumer,Asia
C00830,Home Office,US
C00831,Consumer,US
C00832,Home Office,Asia
C00833,Corporate,Asia
C00834,Home Office,US
C00835,Corporate,Asia
C00836,Consumer,Europe
C00837,Home Office,US
C00838,Corporate,Europe
C00839,Consumer,Asia
C00840,Corporate,US
C00841,Consumer,Europe
C00842,Corporate,US
C00843,Corporate,US
C00844,Home Office,Asia
C00845,Consumer,US
C00846,Consumer,Europe
C00847,Consumer,Asia
C00848,Corporate,Asia
C00849,Consumer,US
C00850,Home Office,Asia
C00851,Home Office,Asia
C00852,Home Office,Europe
C00853,Home Office,US
C00854,Home Office,US
C00855,Home Office,US
C00856,Corporate,US
C00857,Home Office,Asia
C00858,Home Office,Asia
C00859,Home Office,Europe
C00860,Home Office,US
C00861,Corporate,Europe
C00862,Home Office,Europe
C00863,Corporate,Asia
C00864,Consumer,US
C00865,Home Office,Asia
C00866,Consumer,US
C00867,Home Office,Asia
C00868,Home Office,Europe
C00869,Home Office,Europe
C00870,Home Office,Europe
C00871,Consumer,Asia
C00872,Corporate,Asia
C00873,Corporate,Europe
C00874,Consumer,Asia
C00875,Consumer,Asia
C00876,Consumer,Europe
C00877,Consumer,US
C00878,Home Office,Asia
C00879,Home Office,Europe
C00880,Home Office,Europe
C00881,Home Office,Europe
C00882,Corporate,Europe
C00883,Consumer,Europe
C00884,Home Office,US
C00885,Corporate,Europe
C00886,Consumer,Asia
C00887,Home Office,Asia
C00888,Home Office,Europe
C00889,Consumer,Europe
C00890,Home Office,US
C00891,Consumer,Asia
C00892,Home Office,Europe
C00893,Consumer,Asia
C00894,Corporate,US
C00895,Home Office,US
C00896,Consumer,Asia
C00897,Consumer,US
C00898,Corporate,US
C00899,Corporate,Europe
C00900,Home Office,Asia
C00901,Consumer,Asia
C00902,Corporate,Asia
C00903,Corporate,Asia
C00904,Corporate,Asia
C00905,Corporate,Europe
C00906,Corporate,Asia
C00907,Consumer,US
C00908,Consumer,Asia
C00909,Consumer,Europe
C00910,Consumer,Europe
C00911,Corporate,US
C00912,Corporate,US
C00913,Home Office,US
C00914,Consumer,Asia
C00915,Home Office,Asia
C00916,Home Office,Asia
C00917,Home Office,Europe
C00918,Consumer,Asia
C00919,Home Office,Asia
C00920,Corporate,Europe
C00921,Corporate,US
C00922,Corporate,Europe
C00923,Corporate,US
C00924,Consumer,Europe
C00925,Consumer,Asia
C00926,Home Office,Europe
C00927,Home Office,Europe
C00928,Home Office,Asia
C00929,Corporate,Asia
C00930,Corporate,Asia
C00931,Consumer,US
C00932,Corporate,Asia
C00933,Home Office,Asia
C00934,Consumer,US
C00935,Home Office,Asia
C00936,Consumer,Asia
C00937,Consumer,Asia
C00938,Home Office,Asia
C00939,Corporate,Asia
C00940,Home Office,Europe
C00941,Corporate,Asia
C00942,Home Office,Asia
C00943,Consumer,US
C00944,Home Office,Europe
C00945,Consumer,US
C00946,Corporate,Asia
C00947,Home Office,US
C00948,Consumer,Asia
C00949,Consumer,US
C00950,Corporate,US
C00951,Home Office,Asia
C00952,Corporate,Asia
C00953,Consumer,US
C00954,Corporate,Europe
C00955,Consumer,US
C00956,Corporate,Asia
C00957,Home Office,Europe
C00958,Home Office,Asia
C00959,Consumer,US
C00960,Consumer,Europe
C00961,Home Office,Europe
C00962,Home Office,Europe
C00963,Home Office,Asia
C00964,Home Office,Europe
C00965,Home Office,US
C00966,Corporate,Europe
C00967,Consumer,Europe
C00968,Home Office,US
C00969,Home Office,Asia
C00970,Consumer,Asia
C00971,Corporate,Europe
C00972,Consumer,US
C00973,Corporate,Asia
C00974,Home Office,Asia
C00975,Corporate,Asia
C00976,Consumer,US
C00977,Home Office,US
C00978,Consumer,Asia
C00979,Consumer,Asia
C00980,Consumer,Europe
C00981,Consumer,US
C00982,Corporate,US
C00983,Corporate,US
C00984,Corporate,Europe
C00985,Corporate,Europe
C00986,Consumer,Europe
C00987,Consumer,Asia
C00988,Home Office,Asia
C00989,Consumer,US
C00990,Corporate,Asia
C00991,Home Office,Asia
C00992,Consumer,Asia
C00993,Consumer,Europe
C00994,Home Office,US
C00995,Corporate,Asia
C00996,Home Office,Europe
C00997,Corporate,Asia
C00998,Corporate,Europe
C00999,Home Office,Europe
C01000,Home Office,Asia
C01001,Home Office,Europe
C01002,Home Office,Asia
C01003,Corporate,US
C01004,Consumer,Europe
C01005,Corporate,Asia
C01006,Home Office,US
C01007,Corporate,US
C01008,Corporate,Europe
C01009,Corporate,Asia
C01010,Home Office,Asia
C01011,Home Office,Asia
C01012,Corporate,Europe
C01013,Home Office,US
C01014,Corporate,US
C01015,Home Office,US
C01016,Corporate,Europe
C01017,Consumer,US
C01018,Consumer,Asia
C01019,Corporate,Europe
C01020,Corporate,US
C01021,Consumer,US
C01022,Corporate,Asia
C01023,Home Office,US
C01024,Corporate,US
C01025,Home Office,Europe
C01026,Corporate,Europe
C01027,Corporate,US
C01028,Consumer,Europe
C01029,Consumer,Asia
C01030,Corporate,Asia
C01031,Corporate,US
C01032,Corporate,US
C01033,Corporate,Europe
C01034,Consumer,Europe
C01035,Home Office,Europe
C01036,Consumer,Europe
C01037,Home Office,US
C01038,Consumer,Asia
C01039,Consumer,US
C01040,Consumer,Europe
C01041,Corporate,US
C01042,Consumer,Europe
C01043,Home Office,Europe
C01044,Home Office,Europe
C01045,Corporate,Asia
C01046,Consumer,US
C01047,Home Office,Asia
C01048,Home Office,US
C01049,Home Office,Asia
C01050,Corporate,US
C01051,Corporate,US
C01052,Consumer,US
C01053,Home Office,US
C01054,Corporate,Asia
C01055,Corporate,Europe
C01056,Home Office,Europe
C01057,Consumer,US
C01058,Consumer,US
C01059,Corporate,Asia
C01060,Consumer,Europe
C01061,Consumer,US
C01062,Corporate,Europe
C01063,Home Office,US
C01064,Corporate,Asia
C01065,Consumer,Europe
C01066,Consumer,Asia
C01067,Home Office,Asia
C01068,Corporate,Europe
C01069,Home Office,US
C01070,Consumer,US
C01071,Consumer,Asia
C01072,Corporate,US
C01073,Corporate,Europe
C01074,Corporate,Europe
C01075,Home Office,Asia
C01076,Home Office,Asia
C01077,Consumer,Europe
C01078,Consumer,Europe
C01079,Consumer,US
C01080,Corporate,US
C01081,Corporate,US
C01082,Corporate,US
C01083,Home Office,Asia
C01084,Home Office,US
C01085,Consumer,Asia
C01086,Corporate,Asia
C01087,Corporate,US
C01088,Home Office,Europe
C01089,Home Office,Europe
C01090,Corporate,Europe
C01091,Consumer,Asia
C01092,Home Office,Asia
C01093,Home Office,Asia
C01094,Home Office,Europe
C01095,Home Office,Europe
C01096,Corporate,Asia
C01097,Consumer,Asia
C01098,Home Office,Asia
C01099,Corporate,US
C01100,Consumer,Asia
C01101,Corporate,US
C01102,Home Office,Asia
C01103,Home Office,US
C01104,Corporate,Europe
C01105,Consumer,Europe
C01106,Home Office,Europe
C01107,Home Office,Asia
C01108,Home Office,Asia
C01109,Consumer,Europe
C01110,Consumer,Asia
C01111,Consumer,Asia
C01112,Home Office,US
C01113,Home Office,US
C01114,Consumer,US
C01115,Corporate,US
C01116,Home Office,Europe
C01117,Corporate,Europe
C01118,Consumer,US
C01119,Home Office,Asia
C01120,Consumer,Europe
C01121,Consumer,Asia
C01122,Home Office,Asia
C01123,Corporate,Asia
C01124,Home Office,Europe
C01125,Home Office,Europe
C01126,Home Office,US
C01127,Home Office,US
C01128,Corporate,Asia
C01129,Corporate,Europe
C01130,Home Office,US
C01131,Corporate,Asia
C01132,Corporate,Europe
C01133,Home Office,US
