TransactionID,Date,AccountID,TransactionType,Amount
T000193,2021-10-18,A004,Deposit,-3441
T000194,2022-07-02,A003,Deposit,5396
T000195,2022-07-12,A001,Deposit,7933
T000196,2023-09-08,A002,Withdrawal,-3362
T000197,2023-01-31,A004,Deposit,4517
T000198,2023-08-16,A002,Withdrawal,-4679
T000199,2022-03-02,A004,Deposit,7265
T000200,2022-03-06,A002,Deposit,1985
T000201,2022-04-18,A001,Withdrawal,6732
T000202,2021-09-19,A001,Deposit,8535
T000203,2022-10-17,A001,Withdrawal,-843
T000204,2021-03-13,A003,Withdrawal,5695
T000205,2022-12-07,A001,Withdrawal,8930
T000206,2021-03-14,A003,Deposit,3085
T000207,2021-09-04,A003,Withdrawal,8113
T000208,2021-03-07,A002,Withdrawal,-4705
T000209,2022-10-21,A003,Deposit,6687
T000210,2022-03-28,A002,Deposit,-4945
T000211,2021-08-30,A002,Withdrawal,4464
T000212,2023-12-11,A004,Withdrawal,6375
T000213,2022-10-02,A003,Withdrawal,-4135
T000214,2023-08-31,A001,Withdrawal,3225
T000215,2024-03-11,A003,Withdrawal,-3772
T000216,2022-03-30,A002,Withdrawal,4517
T000217,2022-11-15,A002,Withdrawal,148
T000218,2023-07-08,A001,Withdrawal,-137
T000219,2021-12-07,A001,Deposit,3578
T000220,2023-08-14,A004,Deposit,384
T000221,2022-06-08,A003,Deposit,4754
T000222,2021-12-21,A002,Withdrawal,569
T000223,2023-12-24,A004,Deposit,5763
T000224,2023-07-30,A003,Deposit,4267
T000225,2023-06-03,A002,Withdrawal,7231
T000226,2022-02-07,A003,Withdrawal,5395
T000227,2024-03-16,A001,Withdrawal,-1912
T000228,2023-08-16,A001,Withdrawal,-2352
T000229,2023-09-27,A003,Withdrawal,-808
T000230,2021-07-22,A002,Deposit,5525
T000231,2022-04-29,A001,Deposit,631
T000232,2021-08-04,A001,Withdrawal,7846
T000233,2022-04-24,A001,Deposit,5376
T000234,2023-11-13,A001,Withdrawal,5147
T000235,2022-07-22,A001,Deposit,1084
T000236,2023-11-27,A004,Withdrawal,-1894
T000237,2024-03-24,A004,Deposit,-4644
T000238,2023-06-30,A002,Withdrawal,9779
T000239,2024-03-09,A003,Deposit,-3505
T000240,2023-01-20,A004,Deposit,6157
T000241,2022-08-24,A004,Withdrawal,6942
T000242,2024-02-20,A002,Withdrawal,2224
T000243,2023-11-25,A002,Withdrawal,8522
T000244,2021-06-08,A003,Withdrawal,6167
T000245,2022-07-13,A001,Withdrawal,-3842
T000246,2023-08-11,A001,Withdrawal,5946
T000247,2021-12-22,A001,Deposit,8952
T000248,2023-10-05,A001,Deposit,-3117
T000249,2023-05-04,A002,Withdrawal,8759
T000250,2022-03-10,A004,Withdrawal,-1020
T000251,2022-10-04,A001,Withdrawal,9383
T000252,2023-12-03,A003,Deposit,1416
T000253,2022-01-31,A001,Withdrawal,1932
T000254,2021-05-04,A003,Deposit,-2938
T000255,2022-10-09,A004,Deposit,1999
T000256,2024-02-06,A004,Deposit,4657
T000257,2023-08-19,A003,Deposit,7866
T000258,2022-11-14,A001,Deposit,5800
T000259,2023-05-17,A004,Deposit,9835
T000260,2022-05-28,A003,Deposit,-2429
T000261,2024-02-15,A003,Deposit,3524
T000262,2022-09-02,A003,Deposit,-431
T000263,2021-03-15,A002,Withdrawal,7742
T000264,2023-08-28,A001,Deposit,2457
T000265,2022-03-14,A001,Withdrawal,2200
T000266,2021-06-17,A004,Deposit,4570
T000267,2023-10-06,A004,Withdrawal,7072
T000268,2023-08-04,A004,Withdrawal,5675
T000269,2022-11-04,A002,Deposit,5124
T000270,2022-10-22,A004,Deposit,1203
T000271,2022-04-26,A002,Withdrawal,-1516
T000272,2023-06-30,A002,Withdrawal,8372
T000273,2022-08-08,A003,Withdrawal,1684
T000274,2023-12-10,A002,Deposit,7583
T000275,2021-12-20,A004,Withdrawal,7343
T000276,2021-01-30,A004,Withdrawal,7204
T000277,2022-02-22,A002,Deposit,-2389
T000278,2023-07-29,A004,Deposit,-3932
T000279,2024-03-16,A002,Withdrawal,7543
T000280,2023-02-12,A001,Deposit,-2256
T000281,2022-03-15,A001,Deposit,2217
T000282,2021-06-30,A002,Deposit,3033
T000283,2022-11-24,A002,Withdrawal,6463
T000284,2023-06-21,A003,Withdrawal,4136
T000285,2021-05-22,A001,Deposit,-4634
T000286,2023-01-01,A004,Deposit,3246
T000287,2023-11-12,A004,Deposit,540
T000288,2022-09-18,A003,Deposit,5564
T000289,2023-02-10,A004,Deposit,2881
T000290,2023-12-04,A001,Withdrawal,-2008
T000291,2021-06-06,A003,Deposit,-1375
T000292,2021-06-29,A002,Withdrawal,-4804
T000293,2023-04-03,A002,Withdrawal,-3636
T000294,2022-05-17,A002,Deposit,1640
T000295,2021-12-11,A003,Deposit,1074
T000296,2021-12-17,A004,Withdrawal,3728
T000297,2022-11-10,A001,Deposit,-4093
T000298,2023-12-19,A004,Withdrawal,-958
T000299,2021-04-21,A004,Withdrawal,4213
T000300,2021-09-26,A004,Withdrawal,-1450
T000301,2022-12-25,A003,Withdrawal,3145
T000302,2021-03-16,A002,Deposit,-4852
T000303,2024-02-01,A002,Withdrawal,8459
T000304,2022-11-26,A003,Deposit,-428
T000305,2021-06-20,A004,Withdrawal,-3666
T000306,2021-03-29,A001,Withdrawal,7421
T000307,2022-11-25,A002,Deposit,5165
T000308,2023-04-09,A001,Deposit,-2240
T000309,2024-01-11,A002,Deposit,-2711
T000310,2023-03-25,A004,Withdrawal,2333
T000311,2023-07-31,A001,Deposit,3062
T000312,2024-02-28,A004,Withdrawal,7802
T000313,2022-02-08,A003,Deposit,6346
T000314,2024-02-01,A004,Withdrawal,8990
T000315,2022-12-09,A003,Deposit,2290
T000316,2022-05-29,A002,Deposit,-679
T000317,2022-02-25,A002,Withdrawal,1957
T000318,2021-02-02,A001,Withdrawal,8999
T000319,2022-01-07,A001,Deposit,9783
T000320,2021-06-19,A002,Deposit,-1781
T000321,2023-04-09,A004,Withdrawal,-175
T000322,2023-09-15,A003,Withdrawal,4952
T000323,2022-08-02,A001,Deposit,-3931
T000324,2022-07-24,A003,Withdrawal,-2187
T000325,2024-02-12,A001,Withdrawal,59
T000326,2022-08-30,A001,Withdrawal,7766
T000327,2023-11-06,A002,Withdrawal,504
T000328,2024-03-19,A003,Withdrawal,7698
T000329,2023-06-16,A003,Withdrawal,5027
T000330,2023-02-10,A004,Deposit,717
T000331,2021-11-24,A004,Withdrawal,7330
T000332,2021-02-14,A003,Withdrawal,6625
T000333,2021-02-18,A004,Withdrawal,-130
T000334,2024-03-04,A004,Deposit,371
T000335,2023-04-17,A003,Deposit,9040
T000336,2021-06-21,A001,Deposit,5065
T000337,2021-02-22,A002,Withdrawal,2348
T000338,2022-09-05,A003,Deposit,-1201
T000339,2022-05-22,A001,Deposit,-2453
T000340,2023-07-10,A002,Withdrawal,-3508
T000341,2024-01-08,A003,Deposit,-4693
T000342,2022-03-10,A004,Withdrawal,3291
T000343,2021-05-18,A002,Withdrawal,8931
T000344,2024-01-10,A002,Deposit,284
T000345,2023-09-10,A001,Withdrawal,9114
T000346,2023-05-27,A003,Withdrawal,1135
T000347,2022-11-13,A001,Deposit,8675
T000348,2023-04-28,A002,Withdrawal,-598
T000349,2022-02-18,A003,Withdrawal,-2289
T000350,2023-05-17,A002,Withdrawal,-246
T000351,2021-11-30,A004,Withdrawal,-2663
T000352,2022-10-25,A004,Withdrawal,5295
T000353,2022-02-07,A002,Deposit,4294
T000354,2021-08-11,A004,Withdrawal,4573
T000355,2023-08-16,A004,Withdrawal,2899
T000356,2023-06-08,A004,Withdrawal,9675
T000357,2021-11-30,A001,Deposit,2533
T000358,2023-11-19,A004,Deposit,-642
T000359,2022-10-29,A001,Deposit,338
T000360,2021-01-15,A001,Deposit,4481
T000361,2023-07-14,A001,Withdrawal,-2487
T000362,2023-12-22,A004,Withdrawal,-3113
T000363,2021-05-23,A003,Deposit,3696
T000364,2022-12-07,A002,Deposit,-4146
T000365,2024-01-29,A004,Withdrawal,1040
T000366,2023-05-20,A004,Withdrawal,1714
T000367,2022-01-04,A003,Deposit,5811
T000368,2022-03-30,A003,Deposit,-2095
T000369,2023-10-08,A003,Withdrawal,-3938
T000370,2021-02-03,A004,Deposit,1407
T000371,2023-03-10,A003,Withdrawal,-984
T000372,2023-06-15,A001,Withdrawal,-2616
T000373,2021-09-10,A002,Deposit,-1462
T000374,2023-07-20,A003,Withdrawal,356
T000375,2021-08-26,A002,Withdrawal,9917
T000376,2021-08-12,A004,Deposit,6613
T000377,2021-08-14,A004,Deposit,4794
T000378,2021-01-15,A001,Deposit,490
T000379,2024-01-06,A002,Deposit,1398
T000380,2023-12-20,A004,Withdrawal,5759
T000381,2021-04-23,A001,Deposit,6663
T000382,2021-05-04,A001,Deposit,149
T000383,2024-02-22,A003,Withdrawal,-10
T000384,2021-04-23,A001,Deposit,2039
T000385,2023-11-09,A004,Deposit,8641
T000386,2023-03-11,A004,Deposit,1813
T000387,2021-09-27,A004,Withdrawal,4780
T000388,2022-01-01,A004,Withdrawal,9806
T000389,2022-03-29,A002,Withdrawal,-3053
T000390,2022-01-15,A003,Withdrawal,2468
T000391,2024-01-31,A001,Deposit,5718
T000392,2024-01-11,A001,Withdrawal,498
T000393,2023-09-06,A004,Deposit,-420
T000394,2022-01-04,A002,Deposit,-3384
T000395,2022-12-21,A003,Withdrawal,-967
T000396,2023-09-14,A001,Withdrawal,1044
T000397,2023-10-12,A001,Withdrawal,3339
T000398,2022-03-18,A004,Withdrawal,3916
T000399,2022-07-07,A003,Deposit,-1317
T000400,2021-06-03,A003,Deposit,1231
T000401,2023-05-23,A002,Withdrawal,-3167
T000402,2021-03-20,A003,Withdrawal,-3069
T000403,2021-09-12,A002,Withdrawal,-4784
T000404,2023-07-16,A004,Deposit,-682
T000405,2021-04-19,A003,Withdrawal,2813
T000406,2023-11-12,A004,Deposit,-976
T000407,2023-03-29,A002,Deposit,2371
T000408,2024-02-25,A004,Deposit,6662
T000409,2022-02-27,A003,Withdrawal,6540
T000410,2023-04-13,A001,Deposit,1814
T000411,2021-11-01,A001,Deposit,3496
T000412,2021-08-09,A001,Withdrawal,3822
T000413,2022-08-06,A001,Deposit,6384
T000414,2023-04-19,A003,Withdrawal,6948
T000415,2021-01-12,A001,Deposit,8406
T000416,2024-02-14,A002,Withdrawal,7488
T000417,2023-11-10,A002,Withdrawal,9047
T000418,2024-03-02,A001,Withdrawal,3215
T000419,2023-05-07,A003,Withdrawal,-2282
T000420,2021-07-26,A002,Withdrawal,6411
T000421,2023-11-27,A003,Deposit,-2039
T000422,2022-06-05,A001,Withdrawal,1228
T000423,2022-11-21,A004,Withdrawal,-3751
T000424,2023-05-27,A004,Withdrawal,2886
T000425,2023-05-27,A003,Deposit,-1252
T000426,2023-12-08,A002,Deposit,7864
T000427,2022-01-10,A004,Withdrawal,-137
T000428,2022-12-05,A001,Withdrawal,5186
T000429,2023-08-07,A002,Deposit,2000
T000430,2021-11-05,A004,Withdrawal,9325
T000431,2022-09-06,A002,Deposit,8311
T000432,2024-03-15,A002,Deposit,2261
T000433,2024-01-05,A002,Withdrawal,3542
T000434,2023-12-24,A001,Deposit,1695
T000435,2024-04-09,A001,Withdrawal,922
T000436,2022-04-22,A002,Withdrawal,1344
T000437,2024-04-09,A004,Withdrawal,2988
T000438,2021-03-08,A001,Deposit,-2068
T000439,2021-05-30,A001,Withdrawal,-2768
T000440,2022-11-12,A001,Deposit,1807
T000441,2021-11-22,A002,Withdrawal,-2490
T000442,2021-05-08,A004,Deposit,5365
T000443,2022-06-14,A004,Deposit,2658
T000444,2024-04-07,A004,Deposit,7568
T000445,2023-03-21,A001,Withdrawal,2653
T000446,2021-09-16,A001,Deposit,5233
T000447,2021-12-07,A004,Deposit,-1845
T000448,2023-03-09,A004,Withdrawal,4608
T000449,2023-08-12,A001,Deposit,-3166
T000450,2021-11-24,A003,Withdrawal,6389
T000451,2022-07-08,A001,Deposit,-4120
T000452,2023-03-16,A003,Deposit,1378
T000453,2022-03-26,A003,Withdrawal,-1390
T000454,2023-03-24,A004,Withdrawal,-2598
T000455,2023-09-19,A001,Deposit,-4791
T000456,2021-08-12,A001,Withdrawal,6047
T000457,2022-07-13,A002,Withdrawal,-2303
T000458,2023-05-22,A003,Deposit,7841
T000459,2023-03-07,A002,Deposit,876
T000460,2022-04-14,A001,Withdrawal,923
T000461,2022-02-17,A003,Withdrawal,7198
T000462,2021-11-24,A002,Deposit,1835
T000463,2022-02-28,A004,Withdrawal,9444
T000464,2021-04-26,A004,Deposit,-260
T000465,2023-02-12,A001,Deposit,5730
T000466,2021-04-24,A003,Deposit,-701
T000467,2024-03-03,A004,Withdrawal,4227
T000468,2022-12-15,A001,Deposit,4089
T000469,2021-05-16,A003,Withdrawal,808
T000470,2023-06-11,A003,Deposit,1078
T000471,2023-02-09,A003,Deposit,5601
T000472,2021-12-09,A004,Deposit,2853
T000473,2021-03-19,A004,Withdrawal,2197
T000474,2024-03-21,A001,Withdrawal,-1325
T000475,2021-04-17,A003,Withdrawal,6191
T000476,2023-10-03,A003,Withdrawal,-2099
T000477,2021-04-10,A004,Deposit,7265
T000478,2021-10-13,A001,Deposit,2621
T000479,2023-08-09,A004,Withdrawal,-588
T000480,2022-01-05,A004,Deposit,8430
T000481,2022-03-27,A001,Deposit,3577
T000482,2023-09-11,A001,Deposit,9031
T000483,2023-05-05,A002,Withdrawal,-2412
T000484,2021-05-26,A004,Deposit,721
T000485,2023-05-25,A002,Deposit,4951
T000486,2023-08-29,A003,Withdrawal,3109
T000487,2023-02-28,A004,Withdrawal,3189
T000488,2024-01-15,A004,Deposit,6960
T000489,2024-03-10,A003,Withdrawal,-3478
T000490,2021-10-19,A002,Withdrawal,-3595
T000491,2022-10-16,A003,Deposit,7733
T000492,2022-05-02,A001,Withdrawal,3029
T000493,2022-06-18,A004,Deposit,8999
T000494,2023-07-15,A004,Withdrawal,3048
T000495,2021-07-11,A002,Withdrawal,9963
T000496,2024-01-20,A001,Deposit,4380
T000497,2021-03-22,A004,Deposit,-4667
T000498,2023-03-22,A004,Deposit,7030
T000499,2021-07-06,A002,Deposit,1845
T000500,2022-06-26,A002,Deposit,-1961
T000501,2021-08-03,A004,Withdrawal,3014
T000502,2023-02-21,A002,Withdrawal,-2292
T000503,2023-10-03,A001,Withdrawal,4573
T000504,2021-10-24,A003,Withdrawal,-2705
T000505,2021-08-29,A003,Withdrawal,1172
T000506,2022-05-31,A002,Deposit,4536
T000507,2022-11-02,A004,Deposit,7933
T000508,2023-03-27,A002,Withdrawal,-2393
T000509,2022-04-06,A003,Withdrawal,6472
T000510,2022-01-31,A002,Deposit,6600
T000511,2022-05-20,A004,Withdrawal,-705
T000512,2022-02-06,A002,Withdrawal,-1774
T000513,2023-07-24,A004,Withdrawal,-81
T000514,2023-03-28,A002,Withdrawal,3952
T000515,2022-09-23,A004,Deposit,2694
T000516,2022-02-13,A003,Deposit,-4595
T000517,2022-05-27,A004,Withdrawal,-1849
T000518,2024-02-20,A004,Deposit,7974
T000519,2024-03-13,A003,Withdrawal,3448
T000520,2023-12-04,A003,Deposit,-2483
T000521,2023-08-24,A001,Withdrawal,-2697
T000522,2023-03-11,A002,Deposit,9192
T000523,2022-08-08,A004,Deposit,7837
T000524,2021-04-09,A004,Withdrawal,-3507
T000525,2023-06-21,A004,Withdrawal,9342
T000526,2021-06-23,A001,Deposit,-4875
T000527,2023-05-07,A002,Withdrawal,-2786
T000528,2022-03-01,A002,Deposit,-3843
T000529,2022-03-10,A004,Deposit,1455
T000530,2022-04-15,A003,Withdrawal,-3574
T000531,2022-08-04,A001,Deposit,6419
T000532,2021-11-12,A002,Deposit,339
T000533,2022-10-17,A001,Withdrawal,-277
T000534,2024-02-03,A003,Deposit,6149
T000535,2024-03-30,A002,Deposit,6994
T000536,2022-04-19,A002,Withdrawal,-2053
T000537,2021-09-05,A004,Withdrawal,2153
T000538,2021-08-07,A004,Deposit,4106
T000539,2021-03-12,A003,Withdrawal,3832
T000540,2021-10-09,A001,Deposit,1731
T000541,2021-02-16,A003,Withdrawal,2105
T000542,2023-05-27,A004,Deposit,8356
T000543,2023-07-10,A002,Withdrawal,2841
T000544,2023-04-24,A002,Deposit,6333
T000545,2021-04-07,A003,Withdrawal,3005
T000546,2022-03-06,A004,Deposit,1369
T000547,2022-06-07,A004,Deposit,9461
T000548,2022-09-30,A001,Deposit,2054
T000549,2021-05-29,A004,Deposit,2302
T000550,2022-04-29,A003,Withdrawal,9682
T000551,2021-03-07,A001,Withdrawal,8366
T000552,2021-01-09,A001,Deposit,6712
T000553,2024-01-30,A004,Withdrawal,6408
T000554,2021-06-19,A002,Deposit,1549
T000555,2022-12-13,A002,Deposit,-3773
T000556,2024-02-07,A004,Withdrawal,-1218
T000557,2021-07-09,A003,Deposit,7265
T000558,2024-03-29,A002,Withdrawal,8
T000559,2022-03-31,A002,Withdrawal,3631
T000560,2023-10-08,A004,Withdrawal,-1688
T000561,2022-09-19,A001,Withdrawal,9666
T000562,2022-03-25,A004,Deposit,5736
T000563,2023-10-04,A001,Deposit,-1000
T000564,2021-09-02,A004,Withdrawal,7855
T000565,2023-02-15,A001,Deposit,7056
T000566,2024-03-07,A003,Deposit,4226
T000567,2021-05-01,A004,Deposit,8211
T000568,2022-05-14,A002,Deposit,9153
T000569,2021-01-02,A003,Deposit,-564
T000570,2022-03-17,A004,Deposit,870
T000571,2023-06-01,A004,Withdrawal,3855
T000572,2024-01-08,A003,Deposit,7726
T000573,2023-03-31,A003,Deposit,6936
T000574,2023-04-25,A004,Withdrawal,9819
T000575,2021-05-25,A003,Withdrawal,5036
T000576,2022-06-09,A004,Deposit,5872
T000577,2022-09-06,A004,Withdrawal,-1761
T000578,2022-12-23,A002,Withdrawal,1734
T000579,2024-02-08,A004,Deposit,5397
T000580,2023-02-10,A004,Withdrawal,6842
T000581,2023-09-19,A003,Deposit,-3711
T000582,2024-02-17,A002,Deposit,7923
T000583,2022-05-27,A002,Deposit,-3519
T000584,2021-07-21,A003,Withdrawal,8003
T000585,2022-11-01,A002,Withdrawal,-422
T000586,2022-09-15,A002,Deposit,6174
T000587,2021-11-18,A001,Withdrawal,852
T000588,2022-07-04,A004,Withdrawal,-1268
T000589,2023-02-05,A001,Withdrawal,-830
T000590,2023-09-18,A004,Deposit,8150
T000591,2024-01-24,A002,Deposit,6735
T000592,2021-05-12,A002,Withdrawal,686
T000593,2022-07-21,A002,Withdrawal,6491
T000594,2021-04-05,A004,Withdrawal,1032
T000595,2023-10-30,A003,Deposit,9835
T000596,2023-11-11,A003,Deposit,8891
T000597,2021-07-23,A002,Deposit,3350
T000598,2022-12-07,A003,Deposit,-2947
T000599,2023-04-25,A002,Deposit,-2245
T000600,2023-11-13,A004,Deposit,3395
T000601,2022-04-06,A001,Deposit,1304
